     p_x	     p_y	     p_z	       v	       E	A	Z	polar angle

0.811845	0.256611	1.76715 	0.722695	2.71425 	2	2	17.5409
1.03603 	-0.022056	2.864   	0.851319	3.57763 	2	1	-1.21959
1.3706  	-0.684056	3.83782 	0.910473	4.53856 	2	1	-26.5235
1.03974 	-0.644091	4.1775  	0.918265	4.74031 	2	1	-31.7771
1.14647 	-0.573662	5.67342 	0.951722	6.11151 	2	2	-26.5821
1.05132 	-0.872359	7.12108 	0.93217 	7.77856 	3	1	-39.685
0.84486 	-0.856481	7.57298 	0.971352	7.8941  	2	2	-45.3914
0.743221	-0.802253	7.71518 	0.972222	8.01495 	2	2	-47.1875
1.46301 	-1.16995	8.92837 	0.979483	9.31386 	2	1	-38.649
2.00253 	-0.57554	10.2551 	0.984276	10.6318 	2	0	-16.035
2.08749 	-1.4586 	10.8982 	0.986212	11.3483 	2	0	-34.9434
2.11879 	-1.31323	11.9323 	0.988352	12.3335 	2	1	-31.7908
1.96953 	-1.66361	12.5904 	0.989502	12.988  	2	1	-40.187
2.51075 	-1.89016	13.3627 	0.990781	13.855  	2	1	-36.9735
1.98334 	-1.42329	13.649  	0.979994	14.1487 	3	1	-35.6641
2.84684 	-0.927992	14.5462 	0.992108	14.9693 	2	1	-18.0546
2.7089  	-1.12437	15.8347 	0.993269	16.2131 	2	0	-22.5417
2.75793 	-1.32664	16.1799 	0.993559	16.5735 	2	0	-25.6889
2.34389 	-1.18575	16.5444 	0.993774	16.8565 	2	0	-26.8344
2.33366 	-1.193  	16.9529 	0.994061	17.2568 	2	0	-27.0767
2.17469 	-1.06035	17.6019 	0.99446 	17.8664 	2	0	-25.9932
1.82518 	-0.727073	19.0945 	0.995248	19.287  	2	0	-21.7202
1.68086 	-0.949353	19.3389 	0.995364	19.5255 	2	0	-29.4579
1.86085 	-1.05755	20.4561 	0.995857	20.6533 	2	0	-29.6103
1.44902 	-0.741709	21.7478 	0.996317	21.8892 	2	1	-27.1065
1.82534 	-0.965958	22.293  	0.9965  	22.4671 	2	0	-27.8875
2.04307 	-0.448325	23.511  	0.99685 	23.6785 	2	0	-12.3767
2.38641 	-0.382913	24.9755 	0.997211	25.1624 	2	0	-9.11573
2.33936 	0.289007	26.2108 	0.997463	26.3835 	2	0	7.04271
2.96464 	1.12522 	28.0665 	0.995067	28.3851 	3	1	20.7841
2.95787 	1.26647 	28.9746 	0.997934	29.2131 	2	1	23.1791
3.50604 	1.555   	30.4157 	0.998131	30.714  	2	1	23.9183
4.37431 	2.03011 	31.1035 	0.998227	31.531  	2	1	24.8959
4.05284 	1.71831 	33.1435 	0.996472	33.5529 	3	1	22.9759
