     p_x	     p_y	     p_z	       v	       E	A	Z	polar angle
1.35182 	-2.46692	184.622 	0.449448	410.823 	391	158	-61.2782
-0.58476	-2.08592	182.866 	0.444187	411.715 	393	158	74.3399
0.721355	-3.69903	187.57  	0.452424	414.671 	394	161	-78.9652
3.38754 	-1.78109	183.434 	0.44535 	411.978 	393	160	-27.7344
-3.62398	1.7031  	185.705 	0.448844	413.836 	394	158	-25.1713
-0.516505	1.36598 	186.834 	0.451862	413.487 	393	160	-69.2875
-0.28151	0.0157  	183.034 	0.443588	412.622 	394	161	-3.19212
1.906   	-0.553673	188.903 	0.455837	414.432 	393	156	-16.198
-2.30755	2.0705  	188.601 	0.454377	415.133 	394	162	-41.9007
0.382154	0.491728	185.795 	0.448938	413.856 	394	160	52.1469
-1.25513	-1.26335	184.08  	0.446546	412.25  	393	162	45.1871
2.88601 	-1.27253	182.774 	0.444949	410.836 	392	161	-23.7941
0.427987	1.76963 	188.207 	0.455422	413.277 	392	157	76.4041
0.408529	-0.021085	188.864 	0.45483 	415.243 	394	160	-2.95453
-0.764604	-1.70849	190.008 	0.457023	415.771 	394	156	65.89
0.253803	0.92419 	187.509 	0.452235	414.632 	394	156	74.6439
0.623025	-0.994893	189.447 	0.456868	414.673 	393	161	-57.9443
2.13073 	-0.1737 	185.513 	0.448418	413.732 	394	162	-4.66052
2.63399 	3.29376 	187.683 	0.452658	414.729 	394	159	51.351
2.78244 	1.21666 	184.341 	0.446173	413.217 	394	159	23.6181
1.84922 	-1.47668	185.866 	0.4491  	413.897 	394	157	-38.6089
-1.41025	3.24406 	187.537 	0.453266	413.819 	393	159	-66.5046
1.38577 	-3.00109	188.721 	0.454607	415.193 	394	157	-65.2147
1.01328 	-1.51551	186.36  	0.450042	414.114 	394	159	-56.2331
-0.19351	0.322059	180.969 	0.442268	409.185 	391	158	-59.0004
1.1813  	-3.383  	185.201 	0.447856	413.606 	394	158	-70.7515
1.88583 	2.87883 	185.141 	0.449563	411.896 	392	163	56.7725
2.74711 	-0.36302	187.745 	0.452725	414.746 	394	158	-7.52779
2.06248 	0.889462	184.915 	0.447263	413.467 	394	160	23.3286
2.86774 	0.056847	184.538 	0.447457	412.464 	393	158	1.13562
-4.50491	-4.64828	184.253 	0.446175	413.216 	394	160	45.8974
2.0276  	0.432581	184.575 	0.447511	412.475 	393	159	12.0433
2.90246 	0.921389	183.977 	0.445469	413.054 	394	160	17.6121
-3.4587 	1.21864 	186.236 	0.44986 	414.068 	394	162	-19.4094
1.75606 	-0.48131	186.607 	0.451432	413.386 	393	160	-15.3275
0.179345	-3.09993	187.436 	0.453058	413.769 	393	160	-86.6889
-1.64724	0.64414 	184.809 	0.447048	413.417 	394	160	-21.3576
-1.94968	-1.1757 	186.286 	0.449909	414.084 	394	158	31.0909
-3.98908	-3.12177	183.719 	0.44505 	412.961 	394	157	38.046
-0.356831	-0.034211	185.956 	0.449248	413.928 	394	160	5.47647
-2.22953	0.710562	186.07  	0.451321	412.312 	392	157	-17.6774
2.35199 	1.67419 	189.751 	0.456561	415.657 	394	159	35.444
1.28842 	-0.347248	176.439 	0.432407	408.05  	392	158	-15.0836
0.949567	-0.222008	179.611 	0.999945	179.623 	2	2	-13.1593
2.97067 	0.520752	188.855 	0.454858	415.249 	394	160	9.9428
0.033483	0.251885	185.373 	0.449947	411.988 	392	160	82.4281
-1.25201	1.8362  	187.477 	0.453111	413.784 	393	158	-55.7121
-0.076483	-1.52289	187.521 	0.453183	413.8   	393	158	87.125
-0.567443	0.194862	184.517 	0.447377	412.443 	393	160	-18.9527
3.09195 	-1.05433	184.85  	0.449902	410.931 	391	156	-18.829
-0.694923	1.8567  	186.873 	0.451034	414.344 	394	161	-69.4802
-4.78265	-1.88027	185.869 	0.450129	413.082 	393	160	21.462
-0.899064	1.47818 	189.777 	0.456582	415.663 	394	158	-58.6911
0.331867	0.94024 	190.597 	0.459053	415.202 	393	158	70.5591
