0.01 786443
0.02 775558
0.03 746332
0.04 692925
0.05 613488
0.06 511858
0.07 400279
0.08 298221
0.09 220593
0.10 165841
0.11 127074
0.12  99209
0.13  78419
0.14  62880
0.15  50968
0.16  41640
0.17  34406
0.18  28554
0.19  23802
0.20  19973
