0.094025 0.028 4.94066e-324 
0.094025 0.028 4.94066e-324 
-1.81647 -0.774216 -1.22196 

-6.66756 10.9503 12.8838 
-6.41936 11.5446 12.3677 

-16.6171 12.1848 10.8533 
-16.6415 11.3328 9.23324 
-17.1991 10.9624 8.21245 
-18.0778 11.4918 8.65467 

-15.6911 9.02733 23.2309 
-14.6223 9.86752 23.3316 

-7.61343 -16.5236 -5.13111 
-5.86305 -15.9365 -6.77687 

-4.64954 -11.9717 -8.94735 
-4.90255 -12.5446 -8.6377 

-16.4271 0.680992 13.7559 
-15.4422 -0.230953 12.4274 
-16.6638 -1.71206 12.3958 

-2.09766 11.2338 18.6158 
-2.20853 12.8763 20.4056 
-2.46648 11.9859 20.2646 

-5.4083 -1.41664 10.2145 
-5.86327 -0.950481 11.218 

-16.7558 8.27132 6.3012 
-18.0995 9.33014 5.25283 

-18.0869 0.555533 -19.848 
-17.455 -0.505508 -19.5326 
-18.5441 1.55124 -19.7534 

-19.1126 -7.27858 1.48621 
-17.9291 -7.21909 1.39414 

4.41772 17.543 -10.4738 
4.59255 18.9688 -11.287 

8.79966 18.4963 -15.244 
9.55013 18.6154 -16.1085 
9.74571 17.4617 -15.2253 
11.6426 17.7954 -16.4864 

10.6141 5.79045 13.4892 
9.21667 7.03661 14.8095 
7.67959 8.38554 15.6715 

15.6161 -2.70756 14.6942 
14.5508 -2.30646 14.4351 
12.4784 -2.74598 14.4539 

-2.84652 -11.4861 -21.2625 
-2.44504 -11.4563 -21.0573 

-2.18708 4.47899 -29.3452 
-3.54782 2.6765 -29.9677 

-12.699 -14.4367 11.5219 
-11.2072 -12.7577 10.947 

7.36915 8.65953 -20.486 
8.04304 8.26856 -21.6718 

2.60282 -13.6763 -8.65209 
2.54631 -14.5363 -7.76995 
2.39727 -13.4618 -7.89122 
0.955986 -15.2867 -7.19197 
1.73126 -16.9872 -7.25176 

5.44741 19.6593 12.5875 
4.3406 21.2924 12.2297 

19.0594 -10.0941 -17.0872 
18.1575 -9.87114 -17.3473 

-0.729029 -19.7467 17.7149 
0.054614 -19.5766 18.7812 
-1.73069 -18.6003 17.3749 

-7.0592 -14.6131 17.9818 
-6.33543 -12.6368 17.4405 
-6.83108 -13.4219 16.8301 

18.8973 0.992639 -23.8965 
17.5124 -0.549298 -23.6314 
19.0558 0.728708 -23.143 

2.75557 16.8975 16.7802 
2.29513 15.5253 16.7951 

