     p_x	     p_y	     p_z	       v	       E	A	Z	polar angle

-4.11564	-1.03927	156.663 	0.440811	355.528 	340	138	14.1719
-4.34567	0.143201	157.263 	0.99984 	157.348 	3	2	-1.88736
-3.15809	-0.27121	157.365 	0.999929	157.408 	2	1	4.9084
-4.04743	-0.142737	158.526 	0.99993 	158.588 	2	2	2.01976
-3.43616	0.682978	158.946 	0.99993 	158.996 	2	1	-11.2417
-2.60337	0.804962	159.357 	0.999931	159.391 	2	1	-17.1816
-3.05364	1.75096 	160.742 	0.999932	160.792 	2	1	-29.8299
-2.00826	0.312551	161.833 	0.999849	161.87  	3	0	-8.84614
-1.70105	1.18046 	161.84  	0.999933	161.864 	2	1	-34.7592
-2.71963	0.879695	163.046 	0.999934	163.082 	2	2	-17.9244
-2.64551	0.97886 	165.22  	0.999935	165.255 	2	0	-20.3049
-2.33925	-0.839686	168.174 	0.999751	168.234 	4	0	19.7458
-3.26398	-3.16233	159.359 	0.447952	355.894 	339	131	44.0938
-4.38012	-1.94714	161.093 	0.999848	161.189 	3	3	23.9671
-4.34194	-3.58719	161.785 	0.999731	161.926 	4	3	39.5627
-3.45065	-4.48203	162.501 	0.999933	162.611 	2	2	52.408
-3.02667	-2.65673	162.605 	0.999733	162.698 	4	0	41.2759
-2.16706	-2.25797	163.372 	0.999934	163.412 	2	0	46.1769
-1.80354	-1.98349	165.764 	0.999936	165.796 	2	1	47.7205
-1.3475 	-2.76283	167.272 	0.999937	167.311 	2	2	64.0004
-1.37697	-3.90487	167.899 	0.999938	167.961 	2	2	70.5759
-4.16104	0.255156	157.318 	0.437101	360.038 	345	132	-3.509
-4.0986 	1.31118 	158.313 	0.99993 	158.383 	2	2	-17.74
-3.2918 	1.71241 	159.63  	0.999931	159.684 	2	2	-27.4837
-2.68875	2.20694 	160.202 	0.999931	160.251 	2	2	-39.3794
-1.57996	2.25908 	161.803 	0.999933	161.837 	2	2	-55.0317
-9.10836	-3.69921	149.838 	0.435175	345.056 	331	139	22.1038
-7.56952	-3.63144	150.916 	0.999827	151.175 	3	2	25.6292
-5.72422	-3.14811	153.169 	0.999831	153.334 	3	2	28.8092
-6.57073	-2.94171	155.023 	0.999927	155.202 	2	1	24.118
-6.11754	-2.4692 	155.183 	0.999927	155.335 	2	1	21.9803
-5.98292	-0.591233	157.965 	0.999718	158.124 	4	2	5.64366
-5.09452	0.036261	159.754 	0.999931	159.846 	2	0	-0.407805
-4.71533	0.381771	159.525 	0.999931	159.606 	2	0	-4.62879
-3.84448	0.839179	159.871 	0.999931	159.931 	2	0	-12.3135
-3.42354	0.594849	162.005 	0.999933	162.053 	2	0	-9.85688
2.23537 	-2.88077	143.791 	0.43523 	330.485 	317	121	-52.1899
3.80206 	-3.49353	144.138 	0.999662	144.279 	4	4	-42.5784
6.41583 	-3.6874 	148.971 	0.999032	149.299 	7	5	-29.8875
5.94735 	-4.83951	149.824 	0.999824	150.047 	3	1	-39.1362
5.91456 	-5.26217	152.133 	0.999924	152.351 	2	2	-41.6595
7.30203 	-5.5502 	152.839 	0.999925	153.126 	2	2	-37.2381
7.72342 	-4.88361	154.978 	0.999927	155.258 	2	1	-32.3057
6.90153 	-4.10539	155.272 	0.999927	155.491 	2	2	-30.7464
