# proton+antiproton -> gamma* -> electron+positron 
# E=[2:5] [GeV] , Q=[1:E] [GeV] , sigma [nbarn * GeV-2] 
# N_E=100 , N_Q = 100 , Num. of Rows = N_E*N_Q  
     100     100
2.051800E+000 1.241900E+000 1.515706E-003 
2.051800E+000 1.252400E+000 1.256432E-003 
2.051800E+000 1.263000E+000 1.039832E-003 
2.051800E+000 1.273500E+000 8.592560E-004 
2.051800E+000 1.284000E+000 7.089280E-004 
2.051800E+000 1.294500E+000 5.839460E-004 
2.051800E+000 1.305000E+000 4.802820E-004 
2.051800E+000 1.315500E+000 3.943640E-004 
2.051800E+000 1.326100E+000 3.233116E-004 
2.051800E+000 1.336600E+000 2.646244E-004 
2.051800E+000 1.347100E+000 2.162238E-004 
2.051800E+000 1.357600E+000 1.763314E-004 
2.051800E+000 1.368100E+000 1.435032E-004 
2.051800E+000 1.378700E+000 1.165802E-004 
2.051800E+000 1.389200E+000 9.453260E-005 
2.051800E+000 1.399700E+000 7.651680E-005 
2.051800E+000 1.410200E+000 6.181460E-005 
2.051800E+000 1.420700E+000 4.984080E-005 
2.051800E+000 1.431200E+000 4.010520E-005 
2.051800E+000 1.441800E+000 3.220614E-005 
2.051800E+000 1.452300E+000 2.580694E-005 
2.051800E+000 1.462800E+000 2.063362E-005 
2.051800E+000 1.473300E+000 1.645894E-005 
2.051800E+000 1.483800E+000 1.309746E-005 
2.051800E+000 1.494400E+000 1.039604E-005 
2.051800E+000 1.504900E+000 8.230040E-006 
2.051800E+000 1.515400E+000 6.496860E-006 
2.051800E+000 1.525900E+000 5.113660E-006 
2.051800E+000 1.536400E+000 4.012800E-006 
2.051800E+000 1.547000E+000 3.138230E-006 
2.051800E+000 1.557500E+000 2.445870E-006 
2.051800E+000 1.568000E+000 1.899202E-006 
2.051800E+000 1.578500E+000 1.468890E-006 
2.051800E+000 1.589000E+000 1.131336E-006 
2.051800E+000 1.599500E+000 8.674640E-007 
2.051800E+000 1.610100E+000 6.619600E-007 
2.051800E+000 1.620600E+000 5.025500E-007 
2.051800E+000 1.631100E+000 3.794148E-007 
2.051800E+000 1.641600E+000 2.847682E-007 
2.051800E+000 1.652100E+000 2.123706E-007 
2.051800E+000 1.662700E+000 1.572934E-007 
2.051800E+000 1.673200E+000 1.156264E-007 
2.051800E+000 1.683700E+000 8.431440E-008 
2.051800E+000 1.694200E+000 6.095200E-008 
2.051800E+000 1.704700E+000 4.365060E-008 
2.051800E+000 1.715200E+000 3.094378E-008 
2.051800E+000 1.725800E+000 2.169458E-008 
2.051800E+000 1.736300E+000 1.502824E-008 
2.051800E+000 1.746800E+000 1.027482E-008 
2.051800E+000 1.757300E+000 6.924740E-009 
2.051800E+000 1.767800E+000 4.594200E-009 
2.051800E+000 1.778400E+000 2.995768E-009 
2.051800E+000 1.788900E+000 1.916264E-009 
2.051800E+000 1.799400E+000 1.199888E-009 
2.051800E+000 1.809900E+000 7.335520E-010 
2.051800E+000 1.820400E+000 4.365820E-010 
2.051800E+000 1.830900E+000 2.520502E-010 
2.051800E+000 1.841500E+000 1.405316E-010 
2.051800E+000 1.852000E+000 7.525520E-011 
2.051800E+000 1.862500E+000 3.844080E-011 
2.051800E+000 1.873000E+000 1.873324E-011 
2.051800E+000 1.883500E+000 8.689080E-012 
2.051800E+000 1.894100E+000 3.818240E-012 
2.051800E+000 1.904600E+000 1.605196E-012 
2.051800E+000 1.915100E+000 6.672420E-013 
2.051800E+000 1.925600E+000 2.901680E-013 
2.051800E+000 1.936100E+000 1.388900E-013 
2.051800E+000 1.946600E+000 6.888640E-014 
2.051800E+000 1.957200E+000 3.419430E-014 
2.051800E+000 1.967700E+000 1.694990E-014 
2.051800E+000 1.978200E+000 8.057520E-015 
2.051800E+000 1.988700E+000 3.838380E-015 
2.051800E+000 1.999200E+000 1.776842E-015 
2.051800E+000 2.009800E+000 7.426340E-016 
2.051800E+000 2.020300E+000 2.859120E-016 
2.051800E+000 2.030800E+000 1.040402E-016 
2.051800E+000 2.041300E+000 2.289006E-017 
2.102400E+000 1.000000E+000 9.406900E-002 
2.102400E+000 1.011000E+000 8.050680E-002 
2.102400E+000 1.022000E+000 6.883700E-002 
2.102400E+000 1.033100E+000 5.879740E-002 
2.102400E+000 1.044100E+000 5.017140E-002 
2.102400E+000 1.055100E+000 4.276140E-002 
