 # (omega,eta,kaon) + n(L) -> elastic amplitude
 # cm energy window: srtmin=1.400 GeV; srtmax=1.900 GeV; momentum cutoff=500.000 GeV/c)
 # min energy for S wave pi N scatt.  1.2
 # Delta pi with Delta width is included
 # with delta formfactor
 # Lambda-K^o included in the fit
 # Sigma+ K^+ included in the fit
 # in d33 1 delta chan.
 # uniform scaling energy dependence
 # Constraint in the S31 rhoN -1
 # Constraint in the K crosssec
 # No Suppress of couplings > 100
 # omega m-dep. width included
 # min. exp. errorbar for amplitude set to  0.1
 # min.phasesh.abs.errorbar set to  1.
 # errorbars in s31phase multiplied with  0.5
 # max energy for omega prod.  1.798
 # min energy for omega prod.  1.73
 # max energy for rho prod.  1.8
 # max energy for Lambda K prod.  1.68
 # max energy for Sigma K prod.  1.9

# x: srt [GeV]
# y: amplitude [?]

#  7th best fit with chisq=    946.03
# elastic:                omega+n                       eta+n              K^0+Lambda   
#  srt     Re(T11)   Im(T11)   Re(T13)   Im(T13)   Re(T11)   Im(T11)   Re(T11)   Im(T11)
  1.122  0.435E+02  0.392E+01  0.582E+02  0.502E-02  0.198E+01  0.278E+01  0.500E+02  0.262E+01
  1.123  0.435E+02  0.396E+01  0.584E+02  0.536E-02  0.195E+01  0.280E+01  0.500E+02  0.264E+01
  1.124  0.436E+02  0.401E+01  0.585E+02  0.572E-02  0.192E+01  0.283E+01  0.500E+02  0.267E+01
  1.125  0.437E+02  0.405E+01  0.587E+02  0.610E-02  0.189E+01  0.286E+01  0.501E+02  0.269E+01
  1.126  0.437E+02  0.409E+01  0.589E+02  0.650E-02  0.186E+01  0.288E+01  0.501E+02  0.271E+01
  1.127  0.438E+02  0.414E+01  0.590E+02  0.691E-02  0.183E+01  0.291E+01  0.501E+02  0.273E+01
  1.128  0.438E+02  0.418E+01  0.592E+02  0.735E-02  0.179E+01  0.293E+01  0.502E+02  0.275E+01
  1.129  0.439E+02  0.422E+01  0.594E+02  0.780E-02  0.176E+01  0.296E+01  0.502E+02  0.278E+01
  1.130  0.440E+02  0.426E+01  0.595E+02  0.828E-02  0.173E+01  0.298E+01  0.502E+02  0.280E+01
  1.131  0.440E+02  0.430E+01  0.597E+02  0.877E-02  0.170E+01  0.301E+01  0.503E+02  0.282E+01
  1.132  0.441E+02  0.434E+01  0.599E+02  0.928E-02  0.167E+01  0.303E+01  0.503E+02  0.283E+01
  1.133  0.441E+02  0.438E+01  0.601E+02  0.982E-02  0.164E+01  0.305E+01  0.503E+02  0.285E+01
  1.134  0.442E+02  0.442E+01  0.602E+02  0.104E-01  0.161E+01  0.308E+01  0.504E+02  0.287E+01
  1.135  0.443E+02  0.446E+01  0.604E+02  0.110E-01  0.158E+01  0.310E+01  0.504E+02  0.289E+01
  1.136  0.443E+02  0.450E+01  0.606E+02  0.116E-01  0.155E+01  0.312E+01  0.504E+02  0.291E+01
  1.137  0.444E+02  0.454E+01  0.608E+02  0.122E-01  0.152E+01  0.314E+01  0.505E+02  0.293E+01
  1.138  0.444E+02  0.458E+01  0.610E+02  0.129E-01  0.149E+01  0.316E+01  0.505E+02  0.294E+01
  1.139  0.445E+02  0.462E+01  0.611E+02  0.135E-01  0.147E+01  0.319E+01  0.505E+02  0.296E+01
  1.140  0.446E+02  0.466E+01  0.613E+02  0.142E-01  0.144E+01  0.321E+01  0.506E+02  0.298E+01
  1.141  0.446E+02  0.469E+01  0.615E+02  0.150E-01  0.141E+01  0.323E+01  0.506E+02  0.299E+01
