 # (omega,eta,kaon) + n(L) -> elastic amplitude
 # cm energy window: srtmin=1.400 GeV; srtmax=1.900 GeV; momentum cutoff=500.000 GeV/c)
 # min energy for S wave pi N scatt.  1.2
 # Delta pi with Delta width is included
 # with delta formfactor
 # Lambda-K^o included in the fit
 # Sigma+ K^+ included in the fit
 # in d33 1 delta chan.
 # uniform scaling energy dependence
 # Constraint in the S31 rhoN -1
 # Constraint in the K crosssec
 # No Suppress of couplings > 100
 # omega m-dep. width included
 # min. exp. errorbar for amplitude set to  0.1
 # min.phasesh.abs.errorbar set to  1.
 # errorbars in s31phase multiplied with  0.5
 # max energy for omega prod.  1.798
 # min energy for omega prod.  1.73
 # max energy for rho prod.  1.8
 # max energy for Lambda K prod.  1.68
 # max energy for Sigma K prod.  1.9

# x: srt [GeV]
# y: amplitude [?]

#  7th best fit with chisq=    946.03
# elastic:                omega+n                       eta+n              K^0+Lambda   
#  srt     Re(T11)   Im(T11)   Re(T13)   Im(T13)   Re(T11)   Im(T11)   Re(T11)   Im(T11)
  1.272  0.551E+02  0.781E+01  0.978E+02  0.102E+01 -0.999E+00  0.435E+01  0.567E+02  0.329E+01
  1.273  0.552E+02  0.783E+01  0.982E+02  0.104E+01 -0.100E+01  0.435E+01  0.568E+02  0.328E+01
  1.274  0.553E+02  0.784E+01  0.986E+02  0.107E+01 -0.100E+01  0.435E+01  0.569E+02  0.327E+01
  1.275  0.554E+02  0.785E+01  0.991E+02  0.110E+01 -0.101E+01  0.435E+01  0.569E+02  0.327E+01
  1.276  0.555E+02  0.787E+01  0.995E+02  0.113E+01 -0.101E+01  0.435E+01  0.570E+02  0.326E+01
  1.277  0.556E+02  0.788E+01  0.100E+03  0.116E+01 -0.101E+01  0.436E+01  0.571E+02  0.325E+01
  1.278  0.557E+02  0.789E+01  0.100E+03  0.119E+01 -0.101E+01  0.436E+01  0.571E+02  0.325E+01
  1.279  0.559E+02  0.791E+01  0.101E+03  0.122E+01 -0.101E+01  0.436E+01  0.572E+02  0.324E+01
  1.280  0.560E+02  0.792E+01  0.101E+03  0.126E+01 -0.101E+01  0.436E+01  0.573E+02  0.323E+01
  1.281  0.561E+02  0.793E+01  0.102E+03  0.129E+01 -0.101E+01  0.436E+01  0.573E+02  0.323E+01
  1.282  0.562E+02  0.794E+01  0.102E+03  0.132E+01 -0.101E+01  0.436E+01  0.574E+02  0.322E+01
  1.283  0.563E+02  0.796E+01  0.103E+03  0.136E+01 -0.101E+01  0.437E+01  0.575E+02  0.321E+01
  1.284  0.564E+02  0.797E+01  0.103E+03  0.140E+01 -0.101E+01  0.437E+01  0.575E+02  0.320E+01
  1.285  0.565E+02  0.798E+01  0.104E+03  0.143E+01 -0.100E+01  0.437E+01  0.576E+02  0.320E+01
  1.286  0.567E+02  0.799E+01  0.104E+03  0.147E+01 -0.100E+01  0.437E+01  0.577E+02  0.319E+01
  1.287  0.568E+02  0.801E+01  0.105E+03  0.151E+01 -0.100E+01  0.437E+01  0.578E+02  0.318E+01
  1.288  0.569E+02  0.802E+01  0.105E+03  0.156E+01 -0.997E+00  0.437E+01  0.578E+02  0.317E+01
  1.289  0.570E+02  0.803E+01  0.106E+03  0.160E+01 -0.994E+00  0.438E+01  0.579E+02  0.317E+01
  1.290  0.571E+02  0.804E+01  0.106E+03  0.164E+01 -0.991E+00  0.438E+01  0.580E+02  0.316E+01
  1.291  0.572E+02  0.805E+01  0.107E+03  0.169E+01 -0.987E+00  0.438E+01  0.580E+02  0.315E+01
  1.292  0.574E+02  0.806E+01  0.107E+03  0.173E+01 -0.982E+00  0.438E+01  0.581E+02  0.314E+01
  1.293  0.575E+02  0.807E+01  0.108E+03  0.178E+01 -0.978E+00  0.438E+01  0.582E+02  0.314E+01
  1.294  0.576E+02  0.808E+01  0.108E+03  0.183E+01 -0.973E+00  0.438E+01  0.583E+02  0.313E+01
  1.295  0.577E+02  0.810E+01  0.109E+03  0.188E+01 -0.967E+00  0.439E+01  0.583E+02  0.312E+01
  1.296  0.578E+02  0.811E+01  0.109E+03  0.193E+01 -0.961E+00  0.439E+01  0.584E+02  0.311E+01
  1.297  0.580E+02  0.812E+01  0.110E+03  0.199E+01 -0.955E+00  0.439E+01  0.585E+02  0.310E+01
  1.298  0.581E+02  0.813E+01  0.111E+03  0.204E+01 -0.948E+00  0.439E+01  0.586E+02  0.310E+01
  1.299  0.582E+02  0.814E+01  0.111E+03  0.210E+01 -0.941E+00  0.439E+01  0.586E+02  0.309E+01
  1.300  0.583E+02  0.815E+01  0.112E+03  0.216E+01 -0.934E+00  0.439E+01  0.587E+02  0.308E+01
  1.301  0.585E+02  0.816E+01  0.112E+03  0.222E+01 -0.926E+00  0.439E+01  0.588E+02  0.307E+01
  1.302  0.586E+02  0.817E+01  0.113E+03  0.229E+01 -0.918E+00  0.440E+01  0.589E+02  0.306E+01
  1.303  0.587E+02  0.818E+01  0.113E+03  0.235E+01 -0.909E+00  0.440E+01  0.590E+02  0.306E+01
  1.304  0.588E+02  0.819E+01  0.114E+03  0.242E+01 -0.900E+00  0.440E+01  0.590E+02  0.305E+01
  1.305  0.590E+02  0.819E+01  0.115E+03  0.249E+01 -0.890E+00  0.440E+01  0.591E+02  0.304E+01
  1.306  0.591E+02  0.820E+01  0.115E+03  0.256E+01 -0.880E+00  0.440E+01  0.592E+02  0.303E+01
  1.307  0.592E+02  0.821E+01  0.116E+03  0.263E+01 -0.870E+00  0.440E+01  0.593E+02  0.302E+01
  1.308  0.594E+02  0.822E+01  0.117E+03  0.271E+01 -0.859E+00  0.441E+01  0.594E+02  0.301E+01
  1.309  0.595E+02  0.823E+01  0.117E+03  0.279E+01 -0.847E+00  0.441E+01  0.594E+02  0.301E+01
  1.310  0.596E+02  0.824E+01  0.118E+03  0.287E+01 -0.836E+00  0.441E+01  0.595E+02  0.300E+01
  1.311  0.598E+02  0.825E+01  0.118E+03  0.296E+01 -0.823E+00  0.441E+01  0.596E+02  0.299E+01
  1.312  0.599E+02  0.826E+01  0.119E+03  0.304E+01 -0.811E+00  0.441E+01  0.597E+02  0.298E+01
  1.313  0.600E+02  0.826E+01  0.120E+03  0.313E+01 -0.798E+00  0.442E+01  0.598E+02  0.297E+01
  1.314  0.602E+02  0.827E+01  0.120E+03  0.322E+01 -0.784E+00  0.442E+01  0.598E+02  0.296E+01
  1.315  0.603E+02  0.828E+01  0.121E+03  0.332E+01 -0.770E+00  0.442E+01  0.599E+02  0.295E+01
  1.316  0.604E+02  0.829E+01  0.122E+03  0.342E+01 -0.755E+00  0.442E+01  0.600E+02  0.295E+01
  1.317  0.606E+02  0.829E+01  0.123E+03  0.352E+01 -0.740E+00  0.442E+01  0.601E+02  0.294E+01
  1.318  0.607E+02  0.830E+01  0.123E+03  0.363E+01 -0.725E+00  0.443E+01  0.602E+02  0.293E+01
  1.319  0.608E+02  0.831E+01  0.124E+03  0.374E+01 -0.709E+00  0.443E+01  0.603E+02  0.292E+01
  1.320  0.610E+02  0.832E+01  0.125E+03  0.385E+01 -0.692E+00  0.443E+01  0.604E+02  0.291E+01
  1.321  0.611E+02  0.832E+01  0.125E+03  0.397E+01 -0.675E+00  0.443E+01  0.605E+02  0.290E+01
  1.322  0.613E+02  0.833E+01  0.126E+03  0.409E+01 -0.657E+00  0.443E+01  0.605E+02  0.289E+01
  1.323  0.614E+02  0.833E+01  0.127E+03  0.422E+01 -0.639E+00  0.444E+01  0.606E+02  0.289E+01
  1.324  0.616E+02  0.834E+01  0.128E+03  0.435E+01 -0.621E+00  0.444E+01  0.607E+02  0.288E+01
  1.325  0.617E+02  0.835E+01  0.128E+03  0.448E+01 -0.602E+00  0.444E+01  0.608E+02  0.287E+01
  1.326  0.619E+02  0.835E+01  0.129E+03  0.462E+01 -0.582E+00  0.444E+01  0.609E+02  0.286E+01
  1.327  0.620E+02  0.836E+01  0.130E+03  0.476E+01 -0.562E+00  0.445E+01  0.610E+02  0.285E+01
  1.328  0.622E+02  0.836E+01  0.131E+03  0.491E+01 -0.541E+00  0.445E+01  0.611E+02  0.284E+01
  1.329  0.623E+02  0.837E+01  0.132E+03  0.507E+01 -0.520E+00  0.445E+01  0.612E+02  0.283E+01
  1.330  0.625E+02  0.837E+01  0.132E+03  0.523E+01 -0.499E+00  0.446E+01  0.613E+02  0.283E+01
  1.331  0.626E+02  0.838E+01  0.133E+03  0.539E+01 -0.476E+00  0.446E+01  0.614E+02  0.282E+01
  1.332  0.628E+02  0.838E+01  0.134E+03  0.556E+01 -0.453E+00  0.446E+01  0.615E+02  0.281E+01
  1.333  0.629E+02  0.839E+01  0.135E+03  0.574E+01 -0.430E+00  0.446E+01  0.616E+02  0.280E+01
  1.334  0.631E+02  0.839E+01  0.136E+03  0.593E+01 -0.406E+00  0.447E+01  0.617E+02  0.279E+01
  1.335  0.632E+02  0.840E+01  0.137E+03  0.612E+01 -0.382E+00  0.447E+01  0.618E+02  0.278E+01
  1.336  0.634E+02  0.840E+01  0.137E+03  0.631E+01 -0.356E+00  0.447E+01  0.619E+02  0.277E+01
  1.337  0.635E+02  0.841E+01  0.138E+03  0.652E+01 -0.331E+00  0.448E+01  0.620E+02  0.277E+01
  1.338  0.637E+02  0.841E+01  0.139E+03  0.673E+01 -0.304E+00  0.448E+01  0.621E+02  0.276E+01
  1.339  0.638E+02  0.841E+01  0.140E+03  0.694E+01 -0.278E+00  0.449E+01  0.622E+02  0.275E+01
  1.340  0.640E+02  0.842E+01  0.141E+03  0.717E+01 -0.250E+00  0.449E+01  0.623E+02  0.274E+01
  1.341  0.642E+02  0.842E+01  0.142E+03  0.740E+01 -0.222E+00  0.449E+01  0.624E+02  0.273E+01
  1.342  0.643E+02  0.842E+01  0.143E+03  0.765E+01 -0.193E+00  0.450E+01  0.625E+02  0.272E+01
  1.343  0.645E+02  0.843E+01  0.144E+03  0.790E+01 -0.164E+00  0.450E+01  0.626E+02  0.272E+01
  1.344  0.647E+02  0.843E+01  0.145E+03  0.816E+01 -0.134E+00  0.451E+01  0.627E+02  0.271E+01
  1.345  0.648E+02  0.843E+01  0.146E+03  0.843E+01 -0.103E+00  0.451E+01  0.628E+02  0.270E+01
  1.346  0.650E+02  0.843E+01  0.147E+03  0.871E+01 -0.720E-01  0.452E+01  0.629E+02  0.269E+01
  1.347  0.652E+02  0.843E+01  0.148E+03  0.899E+01 -0.401E-01  0.452E+01  0.630E+02  0.268E+01
  1.348  0.653E+02  0.844E+01  0.149E+03  0.929E+01 -0.766E-02  0.453E+01  0.631E+02  0.268E+01
  1.349  0.655E+02  0.844E+01  0.150E+03  0.960E+01  0.256E-01  0.453E+01  0.632E+02  0.267E+01
  1.350  0.657E+02  0.844E+01  0.151E+03  0.992E+01  0.596E-01  0.454E+01  0.633E+02  0.266E+01
  1.351  0.659E+02  0.844E+01  0.152E+03  0.102E+02  0.942E-01  0.454E+01  0.634E+02  0.265E+01
  1.352  0.660E+02  0.844E+01  0.153E+03  0.106E+02  0.129E+00  0.455E+01  0.636E+02  0.265E+01
  1.353  0.662E+02  0.844E+01  0.154E+03  0.109E+02  0.165E+00  0.455E+01  0.637E+02  0.264E+01
  1.354  0.664E+02  0.844E+01  0.155E+03  0.113E+02  0.202E+00  0.456E+01  0.638E+02  0.263E+01
  1.355  0.666E+02  0.844E+01  0.156E+03  0.117E+02  0.240E+00  0.457E+01  0.639E+02  0.263E+01
  1.356  0.667E+02  0.844E+01  0.157E+03  0.121E+02  0.278E+00  0.457E+01  0.640E+02  0.262E+01
  1.357  0.669E+02  0.844E+01  0.159E+03  0.125E+02  0.316E+00  0.458E+01  0.641E+02  0.261E+01
  1.358  0.671E+02  0.844E+01  0.160E+03  0.129E+02  0.356E+00  0.459E+01  0.643E+02  0.260E+01
  1.359  0.673E+02  0.844E+01  0.161E+03  0.133E+02  0.396E+00  0.459E+01  0.644E+02  0.260E+01
  1.360  0.675E+02  0.844E+01  0.162E+03  0.138E+02  0.437E+00  0.460E+01  0.645E+02  0.259E+01
  1.361  0.677E+02  0.844E+01  0.163E+03  0.142E+02  0.479E+00  0.461E+01  0.646E+02  0.258E+01
  1.362  0.679E+02  0.843E+01  0.165E+03  0.147E+02  0.522E+00  0.462E+01  0.647E+02  0.258E+01
  1.363  0.680E+02  0.843E+01  0.166E+03  0.152E+02  0.565E+00  0.462E+01  0.649E+02  0.257E+01
  1.364  0.682E+02  0.843E+01  0.167E+03  0.157E+02  0.610E+00  0.463E+01  0.650E+02  0.257E+01
  1.365  0.684E+02  0.843E+01  0.168E+03  0.162E+02  0.655E+00  0.464E+01  0.651E+02  0.256E+01
  1.366  0.686E+02  0.843E+01  0.169E+03  0.168E+02  0.701E+00  0.465E+01  0.652E+02  0.256E+01
  1.367  0.688E+02  0.842E+01  0.171E+03  0.173E+02  0.747E+00  0.466E+01  0.654E+02  0.255E+01
  1.368  0.690E+02  0.842E+01  0.172E+03  0.179E+02  0.795E+00  0.467E+01  0.655E+02  0.254E+01
  1.369  0.692E+02  0.842E+01  0.173E+03  0.185E+02  0.843E+00  0.468E+01  0.656E+02  0.254E+01
  1.370  0.694E+02  0.841E+01  0.175E+03  0.191E+02  0.892E+00  0.469E+01  0.658E+02  0.253E+01
  1.371  0.696E+02  0.841E+01  0.176E+03  0.197E+02  0.942E+00  0.470E+01  0.659E+02  0.253E+01
  1.372  0.698E+02  0.840E+01  0.177E+03  0.204E+02  0.993E+00  0.471E+01  0.660E+02  0.253E+01
  1.373  0.700E+02  0.840E+01  0.179E+03  0.210E+02  0.105E+01  0.472E+01  0.662E+02  0.252E+01
  1.374  0.702E+02  0.839E+01  0.180E+03  0.217E+02  0.110E+01  0.473E+01  0.663E+02  0.252E+01
  1.375  0.705E+02  0.839E+01  0.181E+03  0.224E+02  0.115E+01  0.474E+01  0.665E+02  0.251E+01
  1.376  0.707E+02  0.838E+01  0.183E+03  0.232E+02  0.121E+01  0.475E+01  0.666E+02  0.251E+01
  1.377  0.709E+02  0.837E+01  0.184E+03  0.239E+02  0.126E+01  0.477E+01  0.667E+02  0.251E+01
  1.378  0.711E+02  0.837E+01  0.186E+03  0.247E+02  0.132E+01  0.478E+01  0.669E+02  0.250E+01
  1.379  0.713E+02  0.836E+01  0.187E+03  0.255E+02  0.138E+01  0.479E+01  0.670E+02  0.250E+01
  1.380  0.715E+02  0.835E+01  0.189E+03  0.263E+02  0.143E+01  0.480E+01  0.672E+02  0.250E+01
  1.381  0.718E+02  0.835E+01  0.190E+03  0.272E+02  0.149E+01  0.482E+01  0.673E+02  0.250E+01
  1.382  0.720E+02  0.834E+01  0.192E+03  0.281E+02  0.155E+01  0.483E+01  0.675E+02  0.249E+01
  1.383  0.722E+02  0.833E+01  0.193E+03  0.290E+02  0.161E+01  0.485E+01  0.676E+02  0.249E+01
  1.384  0.724E+02  0.832E+01  0.195E+03  0.299E+02  0.168E+01  0.486E+01  0.678E+02  0.249E+01
  1.385  0.727E+02  0.831E+01  0.196E+03  0.309E+02  0.174E+01  0.488E+01  0.679E+02  0.249E+01
  1.386  0.729E+02  0.830E+01  0.198E+03  0.319E+02  0.181E+01  0.489E+01  0.681E+02  0.249E+01
  1.387  0.731E+02  0.829E+01  0.199E+03  0.329E+02  0.187E+01  0.491E+01  0.683E+02  0.249E+01
  1.388  0.734E+02  0.828E+01  0.201E+03  0.339E+02  0.194E+01  0.493E+01  0.684E+02  0.249E+01
  1.389  0.736E+02  0.827E+01  0.203E+03  0.350E+02  0.201E+01  0.494E+01  0.686E+02  0.249E+01
  1.390  0.738E+02  0.826E+01  0.204E+03  0.361E+02  0.207E+01  0.496E+01  0.688E+02  0.249E+01
  1.391  0.741E+02  0.825E+01  0.206E+03  0.373E+02  0.214E+01  0.498E+01  0.689E+02  0.249E+01
  1.392  0.743E+02  0.824E+01  0.208E+03  0.385E+02  0.222E+01  0.500E+01  0.691E+02  0.249E+01
  1.393  0.746E+02  0.823E+01  0.209E+03  0.397E+02  0.229E+01  0.502E+01  0.693E+02  0.250E+01
  1.394  0.748E+02  0.821E+01  0.211E+03  0.409E+02  0.236E+01  0.504E+01  0.694E+02  0.250E+01
  1.395  0.751E+02  0.820E+01  0.213E+03  0.422E+02  0.244E+01  0.506E+01  0.696E+02  0.250E+01
  1.396  0.753E+02  0.818E+01  0.214E+03  0.436E+02  0.251E+01  0.508E+01  0.698E+02  0.251E+01
  1.397  0.756E+02  0.817E+01  0.216E+03  0.449E+02  0.259E+01  0.510E+01  0.700E+02  0.251E+01
  1.398  0.758E+02  0.816E+01  0.218E+03  0.463E+02  0.267E+01  0.512E+01  0.702E+02  0.251E+01
  1.399  0.761E+02  0.814E+01  0.220E+03  0.478E+02  0.275E+01  0.515E+01  0.703E+02  0.252E+01
  1.400  0.763E+02  0.812E+01  0.221E+03  0.493E+02  0.283E+01  0.517E+01  0.705E+02  0.252E+01
  1.401  0.766E+02  0.811E+01  0.223E+03  0.508E+02  0.291E+01  0.519E+01  0.707E+02  0.253E+01
  1.402  0.769E+02  0.809E+01  0.225E+03  0.524E+02  0.300E+01  0.522E+01  0.709E+02  0.254E+01
  1.403  0.772E+02  0.807E+01  0.227E+03  0.541E+02  0.308E+01  0.524E+01  0.711E+02  0.255E+01
  1.404  0.774E+02  0.805E+01  0.229E+03  0.557E+02  0.317E+01  0.527E+01  0.713E+02  0.255E+01
  1.405  0.777E+02  0.804E+01  0.230E+03  0.575E+02  0.326E+01  0.530E+01  0.715E+02  0.256E+01
  1.406  0.780E+02  0.802E+01  0.232E+03  0.593E+02  0.334E+01  0.533E+01  0.717E+02  0.257E+01
  1.407  0.783E+02  0.800E+01  0.234E+03  0.611E+02  0.344E+01  0.536E+01  0.719E+02  0.258E+01
  1.408  0.786E+02  0.798E+01  0.236E+03  0.630E+02  0.353E+01  0.539E+01  0.721E+02  0.259E+01
  1.409  0.788E+02  0.795E+01  0.238E+03  0.650E+02  0.362E+01  0.542E+01  0.723E+02  0.260E+01
  1.410  0.791E+02  0.793E+01  0.240E+03  0.670E+02  0.372E+01  0.545E+01  0.725E+02  0.262E+01
  1.411  0.794E+02  0.791E+01  0.242E+03  0.691E+02  0.381E+01  0.548E+01  0.727E+02  0.263E+01
  1.412  0.797E+02  0.789E+01  0.244E+03  0.712E+02  0.391E+01  0.551E+01  0.730E+02  0.264E+01
  1.413  0.800E+02  0.786E+01  0.246E+03  0.734E+02  0.401E+01  0.555E+01  0.732E+02  0.266E+01
  1.414  0.803E+02  0.784E+01  0.248E+03  0.756E+02  0.411E+01  0.558E+01  0.734E+02  0.267E+01
  1.415  0.806E+02  0.781E+01  0.250E+03  0.780E+02  0.422E+01  0.562E+01  0.736E+02  0.269E+01
  1.416  0.810E+02  0.778E+01  0.252E+03  0.804E+02  0.432E+01  0.566E+01  0.739E+02  0.271E+01
  1.417  0.813E+02  0.776E+01  0.254E+03  0.829E+02  0.443E+01  0.570E+01  0.741E+02  0.273E+01
  1.418  0.816E+02  0.773E+01  0.256E+03  0.854E+02  0.454E+01  0.574E+01  0.743E+02  0.275E+01
  1.419  0.819E+02  0.770E+01  0.258E+03  0.880E+02  0.465E+01  0.578E+01  0.746E+02  0.277E+01
  1.420  0.822E+02  0.767E+01  0.259E+03  0.907E+02  0.476E+01  0.582E+01  0.748E+02  0.279E+01
  1.421  0.826E+02  0.764E+01  0.261E+03  0.935E+02  0.487E+01  0.586E+01  0.751E+02  0.281E+01
  1.422  0.829E+02  0.761E+01  0.263E+03  0.964E+02  0.499E+01  0.591E+01  0.753E+02  0.284E+01
  1.423  0.832E+02  0.757E+01  0.265E+03  0.994E+02  0.511E+01  0.595E+01  0.756E+02  0.287E+01
  1.424  0.836E+02  0.754E+01  0.267E+03  0.102E+03  0.523E+01  0.600E+01  0.758E+02  0.289E+01
  1.425  0.839E+02  0.751E+01  0.269E+03  0.106E+03  0.535E+01  0.605E+01  0.761E+02  0.292E+01
  1.426  0.843E+02  0.747E+01  0.271E+03  0.109E+03  0.547E+01  0.610E+01  0.764E+02  0.295E+01
  1.427  0.846E+02  0.743E+01  0.273E+03  0.112E+03  0.560E+01  0.615E+01  0.767E+02  0.298E+01
  1.428  0.850E+02  0.740E+01  0.275E+03  0.116E+03  0.572E+01  0.621E+01  0.769E+02  0.302E+01
  1.429  0.854E+02  0.736E+01  0.277E+03  0.119E+03  0.585E+01  0.626E+01  0.772E+02  0.305E+01
  1.430  0.857E+02  0.732E+01  0.279E+03  0.123E+03  0.599E+01  0.632E+01  0.775E+02  0.309E+01
  1.431  0.861E+02  0.728E+01  0.281E+03  0.126E+03  0.612E+01  0.638E+01  0.778E+02  0.312E+01
  1.432  0.865E+02  0.723E+01  0.282E+03  0.130E+03  0.626E+01  0.644E+01  0.781E+02  0.316E+01
  1.433  0.869E+02  0.719E+01  0.284E+03  0.134E+03  0.639E+01  0.650E+01  0.784E+02  0.321E+01
  1.434  0.873E+02  0.715E+01  0.286E+03  0.138E+03  0.654E+01  0.656E+01  0.787E+02  0.325E+01
  1.435  0.877E+02  0.710E+01  0.288E+03  0.142E+03  0.668E+01  0.663E+01  0.790E+02  0.330E+01
  1.436  0.881E+02  0.705E+01  0.289E+03  0.147E+03  0.682E+01  0.670E+01  0.793E+02  0.334E+01
  1.437  0.885E+02  0.700E+01  0.291E+03  0.151E+03  0.697E+01  0.677E+01  0.797E+02  0.339E+01
  1.438  0.889E+02  0.695E+01  0.292E+03  0.156E+03  0.712E+01  0.684E+01  0.800E+02  0.345E+01
  1.439  0.893E+02  0.690E+01  0.294E+03  0.160E+03  0.728E+01  0.692E+01  0.803E+02  0.350E+01
  1.440  0.898E+02  0.685E+01  0.295E+03  0.165E+03  0.743E+01  0.699E+01  0.807E+02  0.356E+01
  1.441  0.902E+02  0.679E+01  0.297E+03  0.170E+03  0.759E+01  0.708E+01  0.810E+02  0.362E+01
  1.442  0.906E+02  0.674E+01  0.298E+03  0.175E+03  0.775E+01  0.716E+01  0.814E+02  0.368E+01
  1.443  0.911E+02  0.668E+01  0.299E+03  0.180E+03  0.792E+01  0.724E+01  0.818E+02  0.375E+01
  1.444  0.915E+02  0.662E+01  0.300E+03  0.186E+03  0.808E+01  0.733E+01  0.821E+02  0.382E+01
  1.445  0.920E+02  0.656E+01  0.301E+03  0.191E+03  0.825E+01  0.742E+01  0.825E+02  0.389E+01
  1.446  0.925E+02  0.649E+01  0.302E+03  0.197E+03  0.843E+01  0.752E+01  0.829E+02  0.397E+01
  1.447  0.930E+02  0.643E+01  0.303E+03  0.202E+03  0.860E+01  0.762E+01  0.833E+02  0.405E+01
  1.448  0.934E+02  0.636E+01  0.303E+03  0.208E+03  0.878E+01  0.772E+01  0.837E+02  0.413E+01
  1.449  0.939E+02  0.629E+01  0.304E+03  0.214E+03  0.896E+01  0.782E+01  0.841E+02  0.422E+01
  1.450  0.944E+02  0.622E+01  0.304E+03  0.220E+03  0.915E+01  0.793E+01  0.845E+02  0.431E+01
  1.451  0.950E+02  0.615E+01  0.304E+03  0.227E+03  0.934E+01  0.805E+01  0.850E+02  0.441E+01
  1.452  0.955E+02  0.607E+01  0.304E+03  0.233E+03  0.953E+01  0.816E+01  0.854E+02  0.451E+01
  1.453  0.960E+02  0.599E+01  0.304E+03  0.239E+03  0.972E+01  0.828E+01  0.859E+02  0.461E+01
  1.454  0.966E+02  0.591E+01  0.304E+03  0.246E+03  0.992E+01  0.841E+01  0.863E+02  0.473E+01
  1.455  0.971E+02  0.583E+01  0.303E+03  0.253E+03  0.101E+02  0.854E+01  0.868E+02  0.484E+01
  1.456  0.977E+02  0.575E+01  0.303E+03  0.260E+03  0.103E+02  0.867E+01  0.873E+02  0.496E+01
  1.457  0.983E+02  0.566E+01  0.302E+03  0.267E+03  0.105E+02  0.881E+01  0.878E+02  0.509E+01
  1.458  0.989E+02  0.557E+01  0.301E+03  0.274E+03  0.108E+02  0.896E+01  0.883E+02  0.523E+01
  1.459  0.995E+02  0.548E+01  0.299E+03  0.281E+03  0.110E+02  0.911E+01  0.888E+02  0.537E+01
  1.460  0.100E+03  0.538E+01  0.298E+03  0.288E+03  0.112E+02  0.926E+01  0.894E+02  0.552E+01
  1.461  0.101E+03  0.529E+01  0.296E+03  0.296E+03  0.114E+02  0.943E+01  0.899E+02  0.568E+01
  1.462  0.101E+03  0.518E+01  0.294E+03  0.303E+03  0.116E+02  0.960E+01  0.905E+02  0.585E+01
  1.463  0.102E+03  0.508E+01  0.292E+03  0.311E+03  0.119E+02  0.977E+01  0.911E+02  0.602E+01
  1.464  0.103E+03  0.497E+01  0.289E+03  0.318E+03  0.121E+02  0.996E+01  0.917E+02  0.621E+01
  1.465  0.103E+03  0.486E+01  0.286E+03  0.326E+03  0.124E+02  0.101E+02  0.923E+02  0.641E+01
  1.466  0.104E+03  0.475E+01  0.283E+03  0.333E+03  0.126E+02  0.103E+02  0.930E+02  0.661E+01
  1.467  0.105E+03  0.463E+01  0.279E+03  0.341E+03  0.128E+02  0.106E+02  0.936E+02  0.683E+01
  1.468  0.106E+03  0.451E+01  0.275E+03  0.349E+03  0.131E+02  0.108E+02  0.943E+02  0.707E+01
  1.469  0.106E+03  0.439E+01  0.271E+03  0.356E+03  0.134E+02  0.110E+02  0.950E+02  0.732E+01
  1.470  0.107E+03  0.426E+01  0.267E+03  0.364E+03  0.136E+02  0.112E+02  0.958E+02  0.758E+01
  1.471  0.108E+03  0.413E+01  0.262E+03  0.371E+03  0.139E+02  0.115E+02  0.966E+02  0.786E+01
  1.472  0.109E+03  0.400E+01  0.256E+03  0.379E+03  0.142E+02  0.117E+02  0.973E+02  0.817E+01
  1.473  0.110E+03  0.386E+01  0.251E+03  0.386E+03  0.144E+02  0.120E+02  0.982E+02  0.849E+01
  1.474  0.111E+03  0.372E+01  0.245E+03  0.394E+03  0.147E+02  0.123E+02  0.990E+02  0.883E+01
  1.475  0.112E+03  0.357E+01  0.239E+03  0.401E+03  0.150E+02  0.126E+02  0.100E+03  0.921E+01
  1.476  0.113E+03  0.342E+01  0.232E+03  0.408E+03  0.153E+02  0.129E+02  0.101E+03  0.961E+01
  1.477  0.114E+03  0.326E+01  0.225E+03  0.415E+03  0.156E+02  0.133E+02  0.102E+03  0.101E+02
  1.478  0.115E+03  0.310E+01  0.218E+03  0.421E+03  0.159E+02  0.136E+02  0.103E+03  0.105E+02
  1.479  0.116E+03  0.294E+01  0.210E+03  0.428E+03  0.162E+02  0.140E+02  0.104E+03  0.111E+02
  1.480  0.117E+03  0.277E+01  0.202E+03  0.434E+03  0.165E+02  0.144E+02  0.105E+03  0.116E+02
  1.481  0.118E+03  0.259E+01  0.194E+03  0.440E+03  0.168E+02  0.149E+02  0.107E+03  0.123E+02
  1.482  0.120E+03  0.241E+01  0.186E+03  0.445E+03  0.172E+02  0.154E+02  0.108E+03  0.130E+02
  1.483  0.121E+03  0.222E+01  0.177E+03  0.451E+03  0.175E+02  0.159E+02  0.110E+03  0.139E+02
  1.484  0.123E+03  0.201E+01  0.168E+03  0.456E+03  0.178E+02  0.165E+02  0.112E+03  0.149E+02
  1.485  0.125E+03  0.179E+01  0.158E+03  0.460E+03  0.182E+02  0.172E+02  0.114E+03  0.163E+02
  1.486  0.128E+03  0.142E+01  0.149E+03  0.465E+03  0.185E+02  0.185E+02  0.119E+03  0.196E+02
  1.487  0.130E+03  0.421E+01  0.139E+03  0.469E+03  0.179E+02  0.189E+02  0.117E+03  0.249E+02
  1.488  0.131E+03  0.541E+01  0.129E+03  0.472E+03  0.178E+02  0.193E+02  0.116E+03  0.272E+02
  1.489  0.132E+03  0.638E+01  0.119E+03  0.475E+03  0.177E+02  0.198E+02  0.115E+03  0.291E+02
  1.490  0.133E+03  0.725E+01  0.109E+03  0.478E+03  0.177E+02  0.202E+02  0.114E+03  0.308E+02
