  0.21500001E+01  0.00000000E+00  0.00000000E+00
  0.21520002E+01  0.00000000E+00  0.00000000E+00
  0.21540000E+01  0.00000000E+00  0.00000000E+00
  0.21560001E+01  0.44781687E-02  0.17795889E+00
  0.21580000E+01  0.45916317E-02  0.18480276E+00
  0.21600001E+01  0.47110557E-02  0.19168481E+00
  0.21620002E+01  0.48366785E-02  0.19861162E+00
  0.21640000E+01  0.49682618E-02  0.20557864E+00
  0.21660001E+01  0.51051616E-02  0.21259992E+00
  0.21680000E+01  0.52486658E-02  0.21966225E+00
  0.21700001E+01  0.53991796E-02  0.22678018E+00
  0.21720002E+01  0.55571795E-02  0.23394820E+00
  0.21740000E+01  0.57218550E-02  0.24116248E+00
  0.21760001E+01  0.58943508E-02  0.24843264E+00
  0.21780002E+01  0.60760258E-02  0.25575802E+00
  0.21800001E+01  0.62662363E-02  0.26314428E+00
  0.21820002E+01  0.64643384E-02  0.27058578E+00
  0.21840000E+01  0.66726683E-02  0.27809051E+00
  0.21860001E+01  0.68908213E-02  0.28566009E+00
  0.21880002E+01  0.71187974E-02  0.29328996E+00
  0.21900001E+01  0.73582889E-02  0.30098653E+00
  0.21920002E+01  0.76085804E-02  0.30876160E+00
  0.21940000E+01  0.78711035E-02  0.31659597E+00
  0.21960001E+01  0.81461910E-02  0.32450929E+00
  0.21980002E+01  0.84342482E-02  0.33250064E+00
  0.22000000E+01  0.87355850E-02  0.34056231E+00
  0.22020001E+01  0.90505360E-02  0.34870619E+00
  0.22040000E+01  0.93821529E-02  0.35692325E+00
  0.22060001E+01  0.97280266E-02  0.36523318E+00
  0.22080002E+01  0.10090733E-01  0.37362680E+00
  0.22100000E+01  0.10471153E-01  0.38210458E+00
  0.22120001E+01  0.10868001E-01  0.39067066E+00
  0.22140000E+01  0.11285305E-01  0.39932647E+00
  0.22160001E+01  0.11720967E-01  0.40807542E+00
  0.22180002E+01  0.12179017E-01  0.41691512E+00
  0.22200000E+01  0.12657118E-01  0.42585081E+00
  0.22220001E+01  0.13158416E-01  0.43489110E+00
  0.22240000E+01  0.13683224E-01  0.44402254E+00
  0.22260001E+01  0.14233160E-01  0.45325866E+00
  0.22280002E+01  0.14808702E-01  0.46259570E+00
  0.22300000E+01  0.15412187E-01  0.47203350E+00
  0.22320001E+01  0.16044259E-01  0.48157987E+00
  0.22340002E+01  0.16705085E-01  0.49123454E+00
  0.22360001E+01  0.17398119E-01  0.50099587E+00
  0.22380002E+01  0.18123364E-01  0.51086384E+00
  0.22400000E+01  0.18882681E-01  0.52085072E+00
  0.22420001E+01  0.19678544E-01  0.53094506E+00
  0.22440002E+01  0.20512104E-01  0.54115528E+00
