     2.9613    0.9139    0.0230    2.7973   -1.3302   -0.7555  -22.2036   -0.1763                                                   
     3.1051    0.9741    0.0238    2.8516   -1.3096   -0.7254  -22.1303   -0.1468                                                   
     3.2542    1.0373    0.0245    2.9017   -1.2889   -0.6954  -22.0566   -0.1173                                                   
     3.4085    1.1033    0.0253    2.9472   -1.2683   -0.6654  -21.9824   -0.0876                                                   
     3.5681    1.1721    0.0261    2.9877   -1.2477   -0.6354  -21.9079   -0.0580                                                   
     3.7328    1.2436    0.0269    3.0229   -1.2271   -0.6055  -21.8329   -0.0283                                                   
     3.9026    1.3178    0.0277    3.0526   -1.2066   -0.5757  -21.7576    0.0015                                                   
     4.0773    1.3945    0.0285    3.0766   -1.1862   -0.5460  -21.6818    0.0313                                                   
     4.2568    1.4734    0.0294    3.0947   -1.1659   -0.5165  -21.6056    0.0612                                                   
     4.4409    1.5545    0.0302    3.1070   -1.1457   -0.4872  -21.5289    0.0911                                                   
     4.6292    1.6373    0.0311    3.1133   -1.1257   -0.4581  -21.4519    0.1210                                                   
     4.8216    1.7217    0.0321    3.1137   -1.1059   -0.4293  -21.3743    0.1510                                                   
     5.0177    1.8074    0.0330    3.1084   -1.0863   -0.4008  -21.2964    0.1811                                                   
     5.2172    1.8939    0.0339    3.0975   -1.0669   -0.3726  -21.2180    0.2112                                                   
     5.4196    1.9810    0.0349    3.0813   -1.0478   -0.3447  -21.1392    0.2414                                                   
     5.6246    2.0684    0.0359    3.0599   -1.0289   -0.3173  -21.0599    0.2716                                                   
     5.8317    2.1555    0.0369    3.0338   -1.0103   -0.2903  -20.9802    0.3018                                                   
     6.0405    2.2422    0.0380    3.0032   -0.9920   -0.2637  -20.9000    0.3321                                                   
     6.2506    2.3281    0.0390    2.9686   -0.9740   -0.2375  -20.8193    0.3625                                                   
     6.4614    2.4128    0.0401    2.9302   -0.9564   -0.2118  -20.7382    0.3929                                                   
     6.6726    2.4961    0.0413    2.8885   -0.9391   -0.1866  -20.6566    0.4234                                                   
     6.8837    2.5777    0.0424    2.8438   -0.9221   -0.1620  -20.5745    0.4539                                                   
     7.0941    2.6574    0.0436    2.7966   -0.9055   -0.1378  -20.4919    0.4844                                                   
     7.3036    2.7349    0.0448    2.7472   -0.8892   -0.1141  -20.4089    0.5150                                                   
     7.5117    2.8101    0.0460    2.6959   -0.8733   -0.0910  -20.3254    0.5457                                                   
     7.7180    2.8829    0.0473    2.6431   -0.8578   -0.0684  -20.2414    0.5764                                                   
     7.9221    2.9532    0.0486    2.5892   -0.8426   -0.0464  -20.1569    0.6071                                                   
     8.1238    3.0209    0.0499    2.5344   -0.8278   -0.0248  -20.0718    0.6379                                                   
     8.3227    3.0860    0.0512    2.4790   -0.8133   -0.0038  -19.9863    0.6688                                                   
     8.5185    3.1484    0.0526    2.4232   -0.7993    0.0166  -19.9003    0.6997                                                   
     8.7111    3.2082    0.0540    2.3674   -0.7855    0.0366  -19.8138    0.7306                                                   
     8.9001    3.2654    0.0555    2.3116   -0.7721    0.0561  -19.7267    0.7616                                                   
     9.0855    3.3200    0.0570    2.2561   -0.7591    0.0751  -19.6392    0.7927                                                   
     9.2670    3.3722    0.0585    2.2011   -0.7464    0.0935  -19.5511    0.8238                                                   
     9.4446    3.4219    0.0601    2.1467   -0.7340    0.1116  -19.4625    0.8549                                                   
     9.6180    3.4693    0.0617    2.0929   -0.7219    0.1291  -19.3733    0.8861                                                   
     9.7873    3.5144    0.0633    2.0400   -0.7102    0.1462  -19.2836    0.9174                                                   
     9.9524    3.5574    0.0650    1.9880   -0.6987    0.1629  -19.1934    0.9487                                                   
    10.1131    3.5983    0.0668    1.9370   -0.6875    0.1791  -19.1027    0.9800                                                   
    10.2696    3.6372    0.0685    1.8871   -0.6766    0.1949  -19.0113    1.0114                                                   
    10.4218    3.6741    0.0704    1.8382   -0.6660    0.2104  -18.9195    1.0429                                                   
    10.5696    3.7093    0.0722    1.7904   -0.6557    0.2254  -18.8271    1.0743                                                   
    10.7132    3.7428    0.0742    1.7438   -0.6456    0.2401  -18.7341    1.1059                                                   
    10.8525    3.7746    0.0761    1.6984   -0.6358    0.2544  -18.6406    1.1375                                                   
    10.9876    3.8049    0.0782    1.6541   -0.6262    0.2684  -18.5465    1.1691                                                   
    11.1186    3.8337    0.0802    1.6111   -0.6168    0.2820  -18.4518    1.2008                                                   
    11.2454    3.8611    0.0824    1.5692   -0.6076    0.2953  -18.3566    1.2326                                                   
    11.3681    3.8872    0.0846    1.5285   -0.5987    0.3083  -18.2608    1.2644                                                   
    11.4869    3.9120    0.0868    1.4890   -0.5900    0.3209  -18.1644    1.2962                                                   
    11.6017    3.9357    0.0891    1.4506   -0.5815    0.3333  -18.0675    1.3281                                                   
    11.7127    3.9582    0.0915    1.4133   -0.5732    0.3454  -17.9700    1.3600                                                   
    11.8200    3.9796    0.0940    1.3772   -0.5650    0.3573  -17.8718    1.3920                                                   
    11.9235    4.0000    0.0965    1.3421   -0.5571    0.3688  -17.7732    1.4241                                                   
    12.0234    4.0194    0.0991    1.3081   -0.5493    0.3802  -17.6739    1.4561                                                   
    12.1198    4.0380    0.1018    1.2751   -0.5417    0.3912  -17.5740    1.4883                                                   
    12.2127    4.0556    0.1045    1.2432   -0.5342    0.4021  -17.4736    1.5205                                                   
    12.3023    4.0724    0.1073    1.2122   -0.5269    0.4127  -17.3725    1.5527                                                   
    12.3886    4.0885    0.1102    1.1822   -0.5198    0.4231  -17.2709    1.5850                                                   
    12.4717    4.1037    0.1132    1.1532   -0.5128    0.4333  -17.1687    1.6173                                                   
    12.5517    4.1183    0.1163    1.1250   -0.5059    0.4432  -17.0659    1.6497                                                   
    12.6286    4.1322    0.1194    1.0977   -0.4992    0.4530  -16.9625    1.6822                                                   
    12.7026    4.1454    0.1227    1.0713   -0.4926    0.4626  -16.8585    1.7146                                                   
    12.7737    4.1581    0.1260    1.0457   -0.4861    0.4720  -16.7540    1.7472                                                   
    12.8420    4.1701    0.1295    1.0208   -0.4798    0.4812  -16.6488    1.7798                                                   
    12.9076    4.1815    0.1330    0.9968   -0.4735    0.4903  -16.5431    1.8124                                                   
    12.9705    4.1925    0.1367    0.9735   -0.4674    0.4992  -16.4368    1.8451                                                   
    13.0308    4.2029    0.1405    0.9509   -0.4614    0.5079  -16.3299    1.8778                                                   
    13.0886    4.2128    0.1444    0.9290   -0.4556    0.5165  -16.2224    1.9106                                                   
    13.1440    4.2222    0.1484    0.9077   -0.4498    0.5249  -16.1144    1.9434                                                   
    13.1971    4.2312    0.1525    0.8872   -0.4441    0.5331  -16.0059    1.9763                                                   
    13.2478    4.2398    0.1568    0.8672   -0.4385    0.5413  -15.8967    2.0092                                                   
    13.2963    4.2479    0.1612    0.8479   -0.4330    0.5493  -15.7870    2.0422                                                   
    13.3426    4.2556    0.1657    0.8291   -0.4276    0.5571  -15.6768    2.0752                                                   
    13.3868    4.2630    0.1704    0.8109   -0.4223    0.5648  -15.5661    2.1083                                                   
    13.4289    4.2699    0.1752    0.7932   -0.4171    0.5724  -15.4548    2.1415                                                   
    13.4691    4.2766    0.1801    0.7761   -0.4119    0.5799  -15.3430    2.1746                                                   
    13.5073    4.2829    0.1853    0.7595   -0.4069    0.5873  -15.2307    2.2079                                                   
    13.5436    4.2888    0.1906    0.7433   -0.4019    0.5945  -15.1180    2.2411                                                   
    13.5781    4.2944    0.1960    0.7276   -0.3970    0.6016  -15.0047    2.2745                                                   
    13.6109    4.2998    0.2016    0.7124   -0.3921    0.6087  -14.8910    2.3078                                                   
    13.6419    4.3048    0.2075    0.6977   -0.3874    0.6156  -14.7768    2.3413                                                   
    13.6712    4.3096    0.2134    0.6833   -0.3827    0.6224  -14.6622    2.3747                                                   
    13.6989    4.3141    0.2196    0.6694   -0.3781    0.6291  -14.5472    2.4083                                                   
    13.7250    4.3183    0.2260    0.6558   -0.3735    0.6357  -14.4318    2.4418                                                   
    13.7496    4.3223    0.2326    0.6426   -0.3690    0.6423  -14.3161    2.4755                                                   
    13.7727    4.3260    0.2394    0.6298   -0.3646    0.6487  -14.1999    2.5091                                                   
    13.7944    4.3295    0.2464    0.6174   -0.3602    0.6550  -14.0835    2.5429                                                   
    13.8147    4.3328    0.2537    0.6053   -0.3559    0.6613  -13.9667    2.5766                                                   
    13.8336    4.3358    0.2612    0.5935   -0.3517    0.6675  -13.8497    2.6105                                                   
    13.8511    4.3386    0.2689    0.5821   -0.3475    0.6736  -13.7324    2.6443                                                   
    13.8674    4.3413    0.2769    0.5709   -0.3434    0.6796  -13.6148    2.6783                                                   
    13.8824    4.3437    0.2851    0.5601   -0.3393    0.6855  -13.4971    2.7122                                                   
    13.8963    4.3459    0.2936    0.5495   -0.3353    0.6914  -13.3792    2.7462                                                   
    13.9089    4.3480    0.3023    0.5392   -0.3313    0.6972  -13.2612    2.7803                                                   
    13.9204    4.3498    0.3114    0.5292   -0.3274    0.7029  -13.1431    2.8144                                                   
    13.9308    4.3515    0.3207    0.5195   -0.3235    0.7085  -13.0249    2.8486                                                   
    13.9401    4.3530    0.3303    0.5100   -0.3197    0.7141  -12.9067    2.8828                                                   
    13.9483    4.3544    0.3402    0.5008   -0.3159    0.7196  -12.7885    2.9171                                                   
    13.9555    4.3556    0.3504    0.4917   -0.3121    0.7250  -12.6704    2.9514                                                   
    13.9618    4.3567    0.3610    0.4830   -0.3084    0.7304  -12.5523    2.9858                                                   
    13.9671    4.3575    0.3719    0.4744   -0.3048    0.7357  -12.4344    3.0202                                                   
    13.9714    4.3583    0.3830    0.4661   -0.3012    0.7409  -12.3167    3.0547                                                   
    13.9748    4.3589    0.3946    0.4579   -0.2976    0.7461  -12.1992    3.0892                                                   
    13.9774    4.3594    0.4065    0.4500   -0.2941    0.7512  -12.0819    3.1237                                                   
    13.9791    4.3597    0.4187    0.4423   -0.2906    0.7563  -11.9650    3.1583                                                   
    13.9799    4.3600    0.4313    0.4347   -0.2872    0.7613  -11.8484    3.1930                                                   
    13.9800    4.3601    0.4442    0.4273   -0.2838    0.7663  -11.7322    3.2277                                                   
    13.9793    4.3600    0.4575    0.4201   -0.2804    0.7712  -11.6164    3.2625                                                   
    13.9778    4.3599    0.4712    0.4131   -0.2770    0.7760  -11.5012    3.2973                                                   
    13.9755    4.3596    0.4853    0.4063   -0.2737    0.7808  -11.3865    3.3322                                                   
    13.9726    4.3593    0.4998    0.3996   -0.2705    0.7856  -11.2724    3.3671                                                   
    13.9689    4.3588    0.5146    0.3930   -0.2673    0.7903  -11.1590    3.4020                                                   
