   0.63915134E+02   0.64816040E+02   0.65506088E+02   0.66131927E+02   0.66946289E+02
   0.67554214E+02   0.67956528E+02   0.68156776E+02   0.68795692E+02   0.69680046E+02
   0.70373169E+02   0.70874962E+02   0.71514664E+02   0.72231476E+02   0.72762589E+02
   0.73109520E+02   0.73275536E+02   0.73784309E+02   0.74779747E+02   0.75604950E+02
   0.76258217E+02   0.76739822E+02   0.77051544E+02   0.77528557E+02   0.78155678E+02
   0.78619438E+02   0.78921265E+02   0.79064278E+02   0.79629364E+02   0.80453484E+02
   0.81435410E+02   0.82267311E+02   0.82947617E+02   0.83476158E+02   0.83853806E+02
   0.84082672E+02   0.84166000E+02   0.84189354E+02   0.84701920E+02   0.85303955E+02
   0.86225449E+02   0.87012161E+02   0.87663330E+02   0.88178726E+02   0.88559357E+02
   0.88806885E+02   0.89652313E+02   0.90397263E+02   0.91012352E+02   0.91497551E+02
   0.91853752E+02   0.92082512E+02   0.92186195E+02   0.92167747E+02   0.92030701E+02
   0.92498901E+02   0.93677444E+02   0.94744881E+02   0.95698914E+02   0.96537399E+02
   0.97259453E+02   0.97864403E+02   0.98352280E+02   0.98723953E+02   0.98980537E+02
   0.99123924E+02   0.99156380E+02   0.99080719E+02   0.98900192E+02   0.99413971E+02
   0.99873039E+02   0.10022842E+03   0.10075927E+03   0.10174644E+03   0.10263462E+03
   0.10342274E+03   0.10411015E+03   0.10469630E+03   0.10518154E+03   0.10556623E+03
   0.10585142E+03   0.10603831E+03   0.10612858E+03   0.10680128E+03   0.10761993E+03
   0.10834447E+03   0.10897453E+03   0.10950967E+03   0.10995031E+03   0.11029684E+03
   0.11055025E+03   0.11071162E+03   0.11078253E+03   0.11076460E+03   0.11066002E+03
   0.11047100E+03   0.11051035E+03   0.11107950E+03   0.11156625E+03   0.11197081E+03
