  0.1982E-02  0.2267E-02  0.2590E-02  0.2953E-02  0.3361E-02  0.3815E-02  0.4315E-02  0.4857E-02  0.5434E-02  0.6032E-02  0.6627E-02  0.7185E-02  0.7659E-02  0.7990E-02  0.8112E-02  0.7961E-02  0.7492E-02  0.6699E-02  0.5628E-02  0.4389E-02  0.3134E-02
  0.2185E-02  0.2498E-02  0.2852E-02  0.3250E-02  0.3696E-02  0.4191E-02  0.4733E-02  0.5318E-02  0.5937E-02  0.6571E-02  0.7192E-02  0.7761E-02  0.8226E-02  0.8521E-02  0.8578E-02  0.8336E-02  0.7758E-02  0.6853E-02  0.5687E-02  0.4383E-02  0.3099E-02
  0.2465E-02  0.2817E-02  0.3214E-02  0.3661E-02  0.4159E-02  0.4709E-02  0.5309E-02  0.5952E-02  0.6625E-02  0.7305E-02  0.7958E-02  0.8537E-02  0.8982E-02  0.9222E-02  0.9186E-02  0.8818E-02  0.8096E-02  0.7048E-02  0.5762E-02  0.4380E-02  0.3063E-02
  0.2857E-02  0.3263E-02  0.3721E-02  0.4233E-02  0.4803E-02  0.5429E-02  0.6107E-02  0.6827E-02  0.7570E-02  0.8308E-02  0.8997E-02  0.9581E-02  0.9988E-02  0.1014E-01  0.9974E-02  0.9434E-02  0.8522E-02  0.7292E-02  0.5862E-02  0.4387E-02  0.3032E-02
  0.3417E-02  0.3899E-02  0.4442E-02  0.5047E-02  0.5716E-02  0.6447E-02  0.7232E-02  0.8055E-02  0.8891E-02  0.9699E-02  0.1043E-01  0.1100E-01  0.1134E-01  0.1136E-01  0.1100E-01  0.1023E-01  0.9063E-02  0.7605E-02  0.5999E-02  0.4417E-02  0.3015E-02
  0.4243E-02  0.4837E-02  0.5503E-02  0.6242E-02  0.7055E-02  0.7934E-02  0.8868E-02  0.9832E-02  0.1079E-01  0.1168E-01  0.1244E-01  0.1297E-01  0.1319E-01  0.1301E-01  0.1236E-01  0.1126E-01  0.9768E-02  0.8023E-02  0.6204E-02  0.4491E-02  0.3028E-02
  0.5524E-02  0.6290E-02  0.7143E-02  0.8085E-02  0.9112E-02  0.1021E-01  0.1136E-01  0.1252E-01  0.1363E-01  0.1462E-01  0.1539E-01  0.1582E-01  0.1582E-01  0.1530E-01  0.1423E-01  0.1267E-01  0.1073E-01  0.8618E-02  0.6529E-02  0.4649E-02  0.3099E-02
  0.7666E-02  0.8714E-02  0.9874E-02  0.1114E-01  0.1251E-01  0.1395E-01  0.1542E-01  0.1686E-01  0.1818E-01  0.1926E-01  0.1997E-01  0.2018E-01  0.1977E-01  0.1869E-01  0.1697E-01  0.1472E-01  0.1217E-01  0.9542E-02  0.7083E-02  0.4960E-02  0.3267E-02
  0.1170E-01  0.1326E-01  0.1498E-01  0.1684E-01  0.1881E-01  0.2084E-01  0.2285E-01  0.2472E-01  0.2630E-01  0.2743E-01  0.2792E-01  0.2760E-01  0.2639E-01  0.2428E-01  0.2143E-01  0.1808E-01  0.1453E-01  0.1111E-01  0.8069E-02  0.5546E-02  0.3598E-02
  0.2049E-01  0.2330E-01  0.2640E-01  0.2975E-01  0.3326E-01  0.3681E-01  0.4017E-01  0.4308E-01  0.4520E-01  0.4618E-01  0.4576E-01  0.4380E-01  0.4035E-01  0.3568E-01  0.3023E-01  0.2449E-01  0.1897E-01  0.1402E-01  0.9872E-02  0.6608E-02  0.4190E-02
  0.3398E+00  0.3398E+00  0.3398E+00  0.3398E+00  0.3398E+00  0.3398E+00  0.3398E+00  0.3398E+00  0.3398E+00  0.3398E+00  0.1626E+00  0.1161E+00  0.8873E-01  0.6843E-01  0.5214E-01  0.3883E-01  0.2808E-01  0.1962E-01  0.1318E-01  0.8476E-02  0.5191E-02
  0.2442E-02  0.2792E-02  0.3188E-02  0.3634E-02  0.4133E-02  0.4686E-02  0.5293E-02  0.5948E-02  0.6640E-02  0.7350E-02  0.8045E-02  0.8681E-02  0.9197E-02  0.9520E-02  0.9570E-02  0.9275E-02  0.8593E-02  0.7536E-02  0.6189E-02  0.4704E-02  0.3271E-02
  0.2713E-02  0.3100E-02  0.3537E-02  0.4029E-02  0.4577E-02  0.5183E-02  0.5844E-02  0.6553E-02  0.7295E-02  0.8045E-02  0.8765E-02  0.9403E-02  0.9892E-02  0.1015E-01  0.1010E-01  0.9673E-02  0.8846E-02  0.7653E-02  0.6201E-02  0.4657E-02  0.3209E-02
  0.3092E-02  0.3531E-02  0.4026E-02  0.4581E-02  0.5197E-02  0.5875E-02  0.6610E-02  0.7390E-02  0.8196E-02  0.8996E-02  0.9743E-02  0.1037E-01  0.1081E-01  0.1098E-01  0.1078E-01  0.1018E-01  0.9160E-02  0.7796E-02  0.6218E-02  0.4606E-02  0.3142E-02
  0.3628E-02  0.4140E-02  0.4716E-02  0.5358E-02  0.6069E-02  0.6845E-02  0.7679E-02  0.8553E-02  0.9441E-02  0.1030E-01  0.1107E-01  0.1168E-01  0.1203E-01  0.1205E-01  0.1165E-01  0.1081E-01  0.9545E-02  0.7971E-02  0.6246E-02  0.4559E-02  0.3078E-02
  0.4405E-02  0.5021E-02  0.5712E-02  0.6480E-02  0.7323E-02  0.8235E-02  0.9203E-02  0.1020E-01  0.1119E-01  0.1211E-01  0.1290E-01  0.1344E-01  0.1366E-01  0.1345E-01  0.1276E-01  0.1160E-01  0.1002E-01  0.8198E-02  0.6303E-02  0.4531E-02  0.3029E-02
  0.5572E-02  0.6343E-02  0.7203E-02  0.8152E-02  0.9186E-02  0.1029E-01  0.1144E-01  0.1261E-01  0.1372E-01  0.1471E-01  0.1546E-01  0.1588E-01  0.1586E-01  0.1531E-01  0.1421E-01  0.1261E-01  0.1065E-01  0.8519E-02  0.6425E-02  0.4550E-02  0.3011E-02
  0.7415E-02  0.8427E-02  0.9547E-02  0.1077E-01  0.1209E-01  0.1348E-01  0.1489E-01  0.1627E-01  0.1752E-01  0.1855E-01  0.1921E-01  0.1938E-01  0.1895E-01  0.1787E-01  0.1618E-01  0.1401E-01  0.1154E-01  0.9028E-02  0.6680E-02  0.4661E-02  0.3056E-02
  0.1049E-01  0.1190E-01  0.1344E-01  0.1511E-01  0.1687E-01  0.1869E-01  0.2050E-01  0.2217E-01  0.2360E-01  0.2461E-01  0.2504E-01  0.2475E-01  0.2366E-01  0.2176E-01  0.1919E-01  0.1618E-01  0.1300E-01  0.9930E-02  0.7202E-02  0.4945E-02  0.3206E-02
  0.1477E-01  0.1690E-01  0.1928E-01  0.2190E-01  0.2472E-01  0.2765E-01  0.3051E-01  0.3311E-01  0.3515E-01  0.3632E-01  0.3638E-01  0.3516E-01  0.3267E-01  0.2910E-01  0.2480E-01  0.2019E-01  0.1569E-01  0.1164E-01  0.8223E-02  0.5527E-02  0.3524E-02
  0.1950E+00  0.1950E+00  0.1950E+00  0.1950E+00  0.1950E+00  0.1950E+00  0.1950E+00  0.1950E+00  0.1950E+00  0.1950E+00  0.1021E+00  0.7747E-01  0.6174E-01  0.4906E-01  0.3819E-01  0.2888E-01  0.2114E-01  0.1492E-01  0.1013E-01  0.6597E-02  0.4099E-02
  0.1631E+00  0.1631E+00  0.1631E+00  0.1631E+00  0.1631E+00  0.1631E+00  0.1631E+00  0.1631E+00  0.1631E+00  0.1631E+00  0.1631E+00  0.1631E+00  0.1631E+00  0.1631E+00  0.8076E-01  0.5011E-01  0.3250E-01  0.2114E-01  0.1353E-01  0.8422E-02  0.5051E-02
  0.3322E-02  0.3797E-02  0.4334E-02  0.4938E-02  0.5613E-02  0.6359E-02  0.7175E-02  0.8053E-02  0.8974E-02  0.9911E-02  0.1082E-01  0.1163E-01  0.1226E-01  0.1261E-01  0.1256E-01  0.1204E-01  0.1099E-01  0.9440E-02  0.7550E-02  0.5554E-02  0.3722E-02
  0.3738E-02  0.4270E-02  0.4870E-02  0.5543E-02  0.6291E-02  0.7116E-02  0.8011E-02  0.8965E-02  0.9954E-02  0.1094E-01  0.1187E-01  0.1267E-01  0.1323E-01  0.1346E-01  0.1324E-01  0.1250E-01  0.1123E-01  0.9494E-02  0.7480E-02  0.5436E-02  0.3614E-02
  0.4332E-02  0.4945E-02  0.5634E-02  0.6403E-02  0.7255E-02  0.8187E-02  0.9190E-02  0.1025E-01  0.1132E-01  0.1236E-01  0.1331E-01  0.1406E-01  0.1452E-01  0.1456E-01  0.1409E-01  0.1307E-01  0.1151E-01  0.9545E-02  0.7392E-02  0.5301E-02  0.3495E-02
