   0.00000000E+00   0.34121922E-05   0.32473090E-04   0.12278210E-03   0.32226075E-03
   0.69553271E-03   0.13298417E-02   0.23428646E-02   0.38921305E-02   0.61846217E-02
   0.94815725E-02   0.14088527E-01   0.20314496E-01   0.28391745E-01   0.38374338E-01
   0.50089512E-01   0.63180387E-01   0.77221833E-01   0.91823809E-01   0.10668293E+00
   0.12158520E+00   0.13639091E+00   0.15101330E+00   0.16540152E+00   0.17952873E+00
   0.19338240E+00   0.20695998E+00   0.22026478E+00   0.23330325E+00   0.24608444E+00
   0.25861773E+00   0.27091369E+00   0.28298286E+00   0.29483476E+00   0.30647996E+00
   0.31792694E+00   0.32918483E+00   0.34026241E+00   0.35116872E+00   0.36190870E+00
   0.37249261E+00   0.38292503E+00   0.39321283E+00   0.40336287E+00   0.41337919E+00
   0.42326906E+00   0.43303651E+00   0.44268590E+00   0.45222256E+00   0.46164995E+00
   0.47097313E+00   0.48019469E+00   0.48932001E+00   0.49835017E+00   0.50729078E+00
   0.51614356E+00   0.52491140E+00   0.53359818E+00   0.54220611E+00   0.55073684E+00
   0.55919337E+00   0.56757945E+00   0.57589543E+00   0.58414364E+00   0.59232575E+00
   0.60044605E+00   0.60850489E+00   0.61650318E+00   0.62444323E+00   0.63232774E+00
   0.64015627E+00   0.64793247E+00   0.65565765E+00   0.66333067E+00   0.67095435E+00
   0.67853099E+00   0.68606144E+00   0.69354641E+00   0.70098525E+00   0.70838195E+00
   0.71573758E+00   0.72305125E+00   0.73032618E+00   0.73756051E+00   0.74475712E+00
   0.75191587E+00   0.75903916E+00   0.76612568E+00   0.77317911E+00   0.78019673E+00
   0.78718281E+00   0.79413444E+00   0.80105698E+00   0.80794621E+00   0.81480527E+00
   0.82163543E+00   0.82843590E+00   0.83520740E+00   0.84195185E+00   0.84866762E+00
   0.85535783E+00   0.86202055E+00   0.86865836E+00   0.87527019E+00   0.88185751E+00
   0.88842142E+00   0.89495915E+00   0.90147573E+00   0.90796769E+00   0.91443902E+00
   0.92088580E+00   0.92731357E+00   0.93371838E+00   0.94010198E+00   0.94646585E+00
   0.95280904E+00   0.95913309E+00   0.96543723E+00   0.97172171E+00   0.97798806E+00
   0.98423541E+00   0.99046451E+00   0.99667704E+00   0.10028694E+01   0.10090476E+01
   0.10152075E+01   0.10213486E+01   0.10274761E+01   0.10335853E+01   0.10396805E+01
   0.10457591E+01   0.10518221E+01   0.10578703E+01   0.10639037E+01   0.10699211E+01
   0.10759257E+01   0.10819134E+01   0.10878888E+01   0.10938517E+01   0.10997981E+01
   0.11057330E+01   0.11116537E+01   0.11175640E+01   0.11234578E+01   0.11293421E+01
   0.11352108E+01   0.11410688E+01   0.11469139E+01   0.11527485E+01   0.11585691E+01
   0.11643798E+01   0.11701782E+01   0.11759648E+01   0.11817427E+01   0.11875054E+01
   0.11932603E+01   0.11990045E+01   0.12047360E+01   0.12104589E+01   0.12161709E+01
   0.12218729E+01   0.12275641E+01   0.12332469E+01   0.12389190E+01   0.12445827E+01
   0.12502352E+01   0.12558792E+01   0.12615138E+01   0.12671380E+01   0.12727538E+01
   0.12783595E+01   0.12839584E+01   0.12895480E+01   0.12951301E+01   0.13007013E+01
   0.13062682E+01   0.13118222E+01   0.13173677E+01   0.13229077E+01   0.13284405E+01
   0.13339621E+01   0.13394792E+01   0.13449857E+01   0.13504859E+01   0.13559783E+01
   0.13614630E+01   0.13669413E+01   0.13724095E+01   0.13778725E+01   0.13833295E+01
   0.13887808E+01   0.13942212E+01   0.13996545E+01   0.14050834E+01   0.14105017E+01
   0.14159189E+01   0.14213250E+01   0.14267277E+01   0.14321226E+01   0.14375125E+01
