     p_x	     p_y	     p_z	       v	       E	A	Z	polar angle
-1.22065	2.62908 	43.7571 	0.999085	43.8931 	2	1	-65.0953
-0.461069	3.10947 	44.8788 	0.999131	45.0279 	2	1	-81.5658
-0.548215	3.89419 	46.1443 	0.999179	46.3496 	2	0	-81.9868
-0.212324	4.00688 	47.5682 	0.999227	47.7741 	2	0	-86.9668
0.618734	-0.523752	0.380056	0.430711	2.07869 	2	2	-40.2476
0.767297	-0.298606	0.772914	0.372213	3.034   	3	1	-21.2643
0.310135	-0.271837	0.645155	0.262472	2.91728 	3	2	-41.235
-0.071569	0.013085	1.16787 	0.529229	2.21102 	2	2	-10.361
0.255073	0.108327	1.50341 	0.631505	2.42078 	2	1	23.0105
0.401823	-0.265256	1.44329 	0.6297  	2.4162  	2	1	-33.4301
0.622717	-0.264471	2.85586 	0.842576	3.48325 	2	2	-23.0112
0.683551	-0.45737	3.06405 	0.860649	3.68618 	2	1	-33.7869
0.537824	-0.766965	3.01382 	0.746278	4.22905 	3	2	-54.9605
0.481635	-0.153092	3.66596 	0.891743	4.14989 	2	0	-17.6333
0.366079	0.042999	3.75643 	0.895396	4.21542 	2	1	6.69917
1.24991 	-0.66203	5.29799 	0.889559	6.16434 	3	1	-27.9085
1.06738 	-0.806559	8.09677 	0.945864	8.67625 	3	1	-37.0762
0.529969	-0.53202	9.69185 	0.791348	12.284  	8	2	-45.1107
-0.007106	0.095282	11.08   	0.985939	11.2385 	2	0	-85.7349
-0.00302	-0.119019	11.9338 	0.98787 	12.0809 	2	2	88.5466
0.017499	-0.075899	13.4778 	0.990442	13.6081 	2	1	-77.017
-0.056984	-0.233245	13.6203 	0.99064 	13.7511 	2	1	76.2711
0.160128	-0.153929	14.7608 	0.992014	14.8814 	2	1	-43.8693
0.141649	0.354561	14.9089 	0.992181	15.0313 	2	2	68.2231
-0.144362	0.771872	15.7564 	0.992989	15.8874 	2	0	-79.4065
0.074728	0.471873	16.047  	0.993234	16.1634 	2	1	81.0012
0.378336	0.052912	18.3542 	0.968819	18.949  	5	0	7.96144
0.456955	0.63231 	18.7596 	0.99504 	18.8694 	2	1	54.1453
