       p_x	       p_y	       p_z	       v	       E	A	Z	polar angle

   1.24027	  -2.11244	   123.603	 0.34699	 22.1364	356	135	59.5818
 -0.426299	  0.114766	  0.428328	0.548378	  0.1837	1	1	164.933
  0.958491	  0.252839	  0.131375	0.470178	 0.24974	2	1	14.7774
  0.156848	    0.4613	  0.045203	0.462132	 0.11985	1	0	71.2214
  -1.23238	  0.461298	  0.627963	0.459923	0.355193	3	2	159.479
  0.088586	 -0.963259	  0.136942	0.461698	0.239033	2	1	84.7457
 -0.396218	 -0.362218	   1.83209	0.713268	 0.80059	2	2	137.567
 -0.616643	  -1.00613	   1.71042	0.594038	0.684099	3	3	121.504
  0.732582	  0.477554	  0.437982	0.462096	0.239528	2	1	33.0995
 -0.200524	  0.238011	  0.755585	0.656873	 0.30603	1	1	130.114
 -0.572469	  0.154895	  0.228577	0.560945	0.195051	1	1	164.86
 -0.574057	 -0.084968	  0.614167	0.669298	 0.32446	1	1	171.581
  0.092707	   1.09062	   1.03009	0.625062	0.527636	2	1	85.1414
  0.238244	  0.546049	  0.424683	0.615028	0.251592	1	1	66.4282
  0.304385	 -0.273217	  0.688093	0.648744	0.294893	1	0	41.9113
  0.404471	  0.040842	  0.178954	0.427974	0.0998504	1	1	5.76598
 -0.239773	  0.383336	  0.514517	0.589733	0.223469	1	1	122.026
 -0.078428	 -0.087721	 -0.259566	0.290708	0.0423389	1	1	131.799
  0.048343	 -0.197111	 -0.298287	0.358992	0.066992	1	1	76.2198
 -0.140035	  0.141656	   0.85687	0.684083	0.347981	1	1	134.67
  0.703618	   0.10998	   0.62016	0.709483	0.393021	1	1	8.88382
 -0.073423	 -0.553597	  0.384531	0.585823	0.219397	1	1	97.5551
  0.420475	  0.367957	  0.350466	0.574783	0.208492	1	0	41.1892
 -0.415946	  0.051273	  0.914307	0.730957	0.436979	1	0	172.973
  -0.47006	 -0.251391	  0.589114	0.645918	0.291012	1	0	151.862
 -0.141985	   -0.4936	  0.689032	0.675147	0.333905	1	0	106.048
  0.409933	  -0.08507	  0.929154	0.735425	 0.44676	1	0	11.7237
  0.733534	  -0.10811	   1.25719	0.613648	0.500481	2	0	8.38404
 -0.325783	  0.402129	   0.71079	0.683498	0.347385	1	0	129.013
   1.83927	  0.429254	   119.161	0.338466	 20.7819	353	142	13.1367
 -0.169298	 -0.326947	  0.548619	0.575865	0.209337	1	1	117.376
  0.960654	  -1.67905	   3.77813	0.670863	 1.63502	5	3	60.2244
 -0.519771	  -0.26857	 -0.010468	0.529284	0.167552	1	1	152.674
 -0.365316	 -0.059432	   0.74553	0.663727	0.316052	1	1	170.76
  -0.24658	  0.380162	  0.482807	0.576695	 0.21016	1	1	122.968
 -0.893673	   1.32098	  0.797114	0.534813	0.516844	3	0	124.079
  0.022457	 -0.459825	 -0.006461	0.440253	0.106804	1	0	87.2041
 -0.728676	 -0.188356	  0.811252	0.762488	0.512309	1	0	165.507
  -0.86949	 -0.077684	   1.15628	 0.61082	0.493902	2	0	174.895
 -0.396977	 -0.066343	 -0.057571	0.397343	0.0842436	1	0	170.513
 -0.156194	 -0.460281	  0.370057	0.545333	0.181231	1	0	108.744
  0.390499	  0.219001	  0.489581	0.577036	0.210722	1	0	29.2848
 -0.093721	   0.17219	  0.846146	0.679425	0.340374	1	1	118.559
  0.301011	  0.614693	  0.800316	0.746727	 0.47225	1	1	63.9094
   0.31967	  0.435822	  0.591481	0.649499	0.295622	1	1	53.7405
 -0.361521	  0.066408	  0.882517	0.713796	0.401324	1	1	169.591
  0.097052	 -0.494336	  0.433765	0.578231	0.211688	1	1	78.8926
    0.1008	 -0.474153	  0.277457	0.511622	  0.1537	1	1	77.9983
   0.43427	 -0.188762	   0.71043	0.673125	0.330375	1	1	23.4929
  0.045553	  0.384586	  0.535971	0.576176	0.209646	1	1	83.245
 -0.159017	  0.475292	  0.997093	0.765506	0.519816	1	1	108.499
 -0.081857	  0.081476	    1.0826	0.757261	0.498732	1	0	135.134
 -0.284056	 -0.300626	  0.468752	0.554168	0.189057	1	0	133.377
 -0.127452	  0.808395	  0.669165	0.747646	0.474948	1	0	98.9596
  -0.06166	 -0.431952	   0.60517	0.622082	0.260307	1	0	98.124
  -0.21101	 -0.549708	  0.271261	0.568154	0.202055	1	0	111
   0.40914	  0.391489	  0.383021	0.588583	0.222501	1	0	43.7371
  0.245101	 -0.444369	  0.522492	0.612916	0.249384	1	0	61.1202
 -0.347076	  0.359783	  0.354874	0.546685	0.182411	1	0	133.97
  0.177732	  0.037841	 -0.315671	0.361645	0.0681692	1	0	12.0194
 -0.383033	  -0.23906	  0.605894	0.626932	0.266277	1	0	148.031
 -0.494551	 -0.012394	  0.133809	0.479069	0.130748	1	0	178.565
 -0.042298	  -0.26812	  0.899848	0.707444	 0.38958	1	0	98.9651
 -0.192866	  0.341341	  0.705022	 0.65165	0.298937	1	0	119.468
 -0.064985	   3.35397	   124.525	0.357236	 23.0096	347	138	91.1101
  0.503929	 -0.295606	  0.381439	0.596835	0.231045	1	1	30.396
 -0.042877	  0.123237	 -0.150276	0.207554	0.0208809	1	1	109.184
  0.282656	  0.389392	  0.172387	0.478475	0.130214	1	1	54.0245
  0.379876	  0.351303	  0.442916	 0.58756	0.221197	1	1	42.7622
 -0.076395	  0.450674	  0.664142	0.651836	 0.29888	1	1	99.621
 -0.942676	  0.055993	  0.916647	0.574095	 0.41541	2	1	176.601
 -0.642312	 -0.778107	   0.77263	0.560841	 0.38991	2	2	129.539
 -0.784679	   1.30052	    3.3134	 0.69661	 1.47842	4	2	121.105
  0.042251	  0.241323	 -0.072527	0.262816	0.034176	1	1	80.0693
  0.469695	  0.117819	  0.337132	0.532053	0.169997	1	0	14.0816
  -0.40469	 -0.796667	  0.287034	0.447035	0.221458	2	0	116.93
 -0.292385	    0.3986	  0.964162	0.755702	0.494771	1	0	126.261
 -0.445291	  0.125081	   0.55428	  0.6095	0.245431	1	0	164.31
  0.229128	  0.224926	 -0.153899	0.354553	0.0652396	1	0	44.4698
  0.013702	  -1.09665	  0.246386	 0.51358	0.310705	2	0	89.2842
 -0.569928	   0.51359	   0.00683	0.378192	0.150675	2	0	137.977
  0.418013	 -0.342669	  0.712696	0.689733	0.357848	1	0	39.3435
  -0.25995	 -0.374191	  0.694923	0.662715	0.314887	1	0	124.788
  0.093225	  0.098869	  0.971035	0.722225	0.418607	1	0	46.683
 -0.181305	 -0.433758	  0.967528	0.753352	0.488883	1	0	112.684
  0.321167	  0.090798	  0.098325	0.347454	0.0623897	1	0	15.7863
  0.009875	  0.490092	  0.789143	0.703689	0.382181	1	1	88.8458
 -0.446436	  0.122694	  0.710329	0.670578	0.326425	1	1	164.633
  0.420303	  -0.21046	  0.993881	0.760748	0.507196	1	1	26.5987
  -0.24258	 -0.785362	   1.08515	0.587106	0.441687	2	1	107.165
  0.142718	  0.949933	   1.07151	0.608437	0.488164	2	1	81.4559
  -0.58058	  0.322832	  0.820706	0.747602	0.474337	1	1	150.924
 -0.006844	 -0.394449	   0.84092	0.703637	0.382086	1	1	90.9941
  -0.45613	  0.333862	  0.093206	0.521232	0.161113	1	1	143.798
  0.396462	  0.022513	   0.83186	0.700913	0.377114	1	1	3.25004
  0.067645	  0.374633	  0.907839	0.723605	0.421448	1	0	79.7648
   -0.3777	  0.438818	  0.396238	0.598545	0.233154	1	0	130.719
  0.173904	 -0.529717	  0.122677	0.519485	0.159915	1	0	71.8253
 -0.150924	 -0.618123	  0.438884	0.635545	0.277221	1	0	103.721
