       p_x	       p_y	       p_z	       v	       E	A	Z	polar angle
 -0.277271	  0.512011	  0.143725	0.538686	0.175344	1	1	118.437
 -0.275926	  0.622106	 -0.297627	0.620808	0.258485	1	1	113.919
 -0.200884	 -0.212075	   1.05832	0.760301	 0.50603	1	1	133.448
 -0.623186	  0.484016	  0.429666	0.691341	0.360602	1	0	142.164
 -0.271624	  0.578573	  0.546175	0.667049	0.321379	1	0	115.149
 -0.032212	  0.189001	   144.346	0.374303	 28.0336	381	152	99.6722
 -0.120769	  0.323518	  -0.01726	0.345537	0.0616338	1	0	110.471
  0.358488	  0.443986	  0.190897	0.539543	0.176258	1	0	51.0816
 -0.284683	 -0.453592	   0.12027	0.504637	0.148647	1	0	122.113
  0.452155	 -0.271195	  0.528871	0.622451	0.260757	1	0	30.9547
  0.729915	  0.407984	  0.102947	 0.66783	0.322565	1	0	29.2029
  -0.65449	 -0.327107	  0.643533	0.720442	0.414529	1	1	153.445
  0.496869	 -0.399618	  0.652208	0.696762	0.370072	1	0	38.8088
  0.021358	  0.379284	 -0.179055	0.408276	0.0896371	1	0	86.7771
  0.077183	 -0.355365	 -0.032051	 0.36269	0.068535	1	1	77.7461
  0.427366	 -0.339601	 -0.146376	0.516074	0.157098	1	1	38.472
 -0.217551	 -0.152428	   1.09963	0.769797	0.531555	1	1	144.983
  0.176741	 -0.665895	  0.625558	0.704293	0.383295	1	1	75.1354
 -0.264472	 -0.470343	   0.81927	0.722772	0.419282	1	1	119.349
   1.30603	 -0.133181	   135.605	0.352957	 24.7283	383	151	5.82254
 -0.364594	  0.113461	  0.905623	0.723413	0.420602	1	1	162.714
  0.352964	  0.309482	  0.903958	0.735604	0.446683	1	1	41.2446
 -0.570667	 -0.341172	  0.495211	0.661847	0.313603	1	0	149.127
 -0.168654	 -0.818219	   1.81983	0.729586	0.867598	2	1	101.647
  -0.19929	  0.562796	  0.788003	0.725441	0.424809	1	1	109.5
  0.440691	  -0.48663	  0.713849	0.718809	0.411237	1	1	47.8361
  0.109745	  0.681483	  0.405797	0.649252	0.295279	1	1	80.8518
 -0.665414	 -0.004489	  0.643045	0.702296	0.379629	1	1	179.614
  -0.08834	  0.549994	  0.597844	0.656461	0.305763	1	0	99.125
  0.142214	  0.466949	  0.514471	0.602682	0.237719	1	0	73.0614
  -3.26987	  0.882266	   134.958	0.355632	 24.8165	378	150	164.9
  0.529716	  0.075147	  0.748183	0.700144	0.375723	1	1	8.07427
  0.017008	  0.378198	  0.913251	0.725432	0.424789	1	1	87.4252
 -0.138397	 -0.416665	  0.988005	0.755346	0.493349	1	1	108.374
   1.00657	  -0.64961	   1.08808	   0.653	0.601351	2	1	32.8371
 -0.549899	  -0.36726	  0.365416	0.627279	0.266426	1	1	146.262
  0.733406	   1.64795	   2.36589	0.621007	 1.03573	4	1	66.009
  0.580195	  0.253513	  0.357432	0.612235	0.248592	1	0	23.6027
  -0.03695	  0.625905	  0.221541	0.578345	0.211803	1	1	93.3786
