       p_x	       p_y	       p_z	       v	       E	A	Z	polar angle
  0.180214	 -0.828333	   1.70776	0.560641	0.584723	3	1	77.7259
 -0.050551	  -0.25259	  0.349777	0.419865	0.095612	1	0	101.317
  0.276494	 -0.583614	  0.765539	 0.47057	0.250377	2	0	64.6502
  -0.05624	  0.269449	  0.496071	0.517121	0.158075	1	0	101.79
  0.145684	 -0.554395	   1.24109	  0.3421	0.241111	4	1	75.2767
  0.124996	  0.314099	 -0.246825	0.217545	0.0460813	2	0	68.2999
 -0.010514	  0.189521	  0.820928	0.667863	0.322615	1	0	93.1754
  0.454964	  0.205931	   0.30048	0.527363	0.166174	1	0	24.353
   0.40106	  0.311508	   1.19784	0.810869	0.665502	1	0	37.8369
 -0.246172	  0.110416	  0.652697	0.601095	0.235958	1	0	155.842
 -0.087199	 -0.180687	  0.095584	0.230308	0.0259398	1	0	115.762
  0.643821	  -0.13956	  0.320317	0.615084	0.251927	1	0	12.2307
  0.046961	  0.576358	  0.527983	0.267905	0.106844	3	1	85.342
 -0.219086	  -0.27085	  0.037643	0.349935	0.0633088	1	1	128.969
 -0.109736	  0.843864	  0.745504	0.516218	0.314587	2	1	97.4092
 -0.348825	  0.005473	  0.473726	0.530939	0.169082	1	0	179.101
  0.731213	  0.574892	  0.336366	0.465996	0.244545	2	0	38.1751
 -0.040379	  0.061096	 -0.081021	 0.11553	0.00632988	1	0	123.461
 -0.244813	  0.429731	  0.888168	0.734582	0.444895	1	0	119.67
  0.211169	 -0.658918	  0.148842	0.601907	0.236857	1	0	72.2305
  0.146411	   0.18498	  0.072056	0.254074	0.0318588	1	0	51.6386
 -0.704116	 -0.024251	  0.722425	0.473517	0.254055	2	1	178.028
 -0.327387	  0.407203	  0.102719	0.493287	0.140476	1	0	128.799
  0.188596	 -0.418625	  0.544765	0.604443	0.239688	1	0	65.7479
 -0.166387	 -0.370236	  0.846829	0.447246	0.221705	2	0	114.2
 -0.602024	 -0.061019	  0.315272	0.587836	0.221721	1	0	174.213
 -0.129478	  -0.13778	  0.228177	0.300952	0.045649	1	0	133.221
 -0.110929	  0.045934	  0.342776	0.360745	0.0677927	1	0	157.506
 -0.154809	 -0.101698	    0.6355	0.576172	0.209864	1	0	146.698
  0.415154	 -0.206176	  0.572844	0.617359	0.254622	1	0	26.4102
 -0.127067	 -0.067033	  0.347995	0.372144	0.0726625	1	0	152.187
